"";"nombre";"marca";"precio";"pagina";"imagen";"departamento";"categoria";"subcategoria"
"1";"Comedor 4 Sillas Natural 120 X 80 X 75 Cm M+de";"M Design";17999;"comedor-4-sillas-natural-120-x-80-x-75-cm-m-de/p";"575940";"Hogar y textil";"Muebles";"Muebles de Comedor"
"2";"Futon Doni Gris 188 X 82 X 89 Cm M+design";"M Design";22990;"futon-doni-gris-188-x-82-x-89-cm-m-design/p";"575936";"Hogar y textil";"Muebles";"Muebles de Comedor"
"3";"Sofa Esquinero Rever Gris Oscuro 194 X 139 X 8";"M Design";34999;"sofa-esquinero-rever-gris-oscuro-194-x-139-x-8/p";"575935";"Hogar y textil";"Muebles";"Muebles de Comedor"
"4";"Comedor 4 Sillas Rectangular Vidrio 120 X 70 X";"M Design";22990;"comedor-4-sillas-rectangular-vidrio-120-x-70-x/p";"575928";"Hogar y textil";"Muebles";"Muebles de Comedor"
"5";"Piso/banq Plegable Sc2000 Blanco 31 X 29,5 X 4";"M Design";749;"piso-banq-plegable-sc2000-blanco-31-x-29-5-x-4/p";"575926";"Hogar y textil";"Muebles";"Muebles de Comedor"
"6";"Piso/banq Plegable Sc2000 Negro 31 X 29,5 X 45";"M Design";749;"piso-banq-plegable-sc2000-negro-31-x-29-5-x-45/p";"575925";"Hogar y textil";"Muebles";"Muebles de Comedor"
"7";"Silla Bar  Verona Blanco 42 X 44 X 67 Cm M+des";"M Design";5999;"silla-bar-verona-blanco-42-x-44-x-67-cm-m-des/p";"575923";"Hogar y textil";"Muebles";"Muebles de Comedor"
"8";"Piso/banq Plegable Sc2000 Gris 31 X 29,5 X 45,";"M Design";749;"piso-banq-plegable-sc2000-gris-31-x-29-5-x-45/p";"575922";"Hogar y textil";"Muebles";"Muebles de Comedor"
"9";"Set 2 Sillas Bar Terona Negro 43 X 40 X 66 Cm";"M Design";7999;"set-2-sillas-bar-terona-negro-43-x-40-x-66-cm/p";"575921";"Hogar y textil";"Muebles";"Muebles de Comedor"
"10";"Silla Plegable Auditorium Negro 44 X 45 X 79 C";"M Design";1590;"silla-plegable-auditorium-negro-44-x-45-x-79-c/p";"575917";"Hogar y textil";"Muebles";"Muebles de Comedor"
"11";"Mesa Comedor Lineas Clear 140 X 90 X 77 Cm M+d";"M Design";10590;"mesa-comedor-lineas-clear-140-x-90-x-77-cm-m-d/p";"575915";"Hogar y textil";"Muebles";"Muebles de Comedor"
"12";"Silla Bar  Verona Negro 42 X 44 X 67 Cm M+desi";"M Design";5999;"silla-bar-verona-negro-42-x-44-x-67-cm-m-desi/p";"575914";"Hogar y textil";"Muebles";"Muebles de Comedor"
"13";"Comedor 4 Sillas Photo City 90 X 90 X 73 Cm M+";"M Design";18990;"comedor-4-sillas-photo-city-90-x-90-x-73-cm-m/p";"575912";"Hogar y textil";"Muebles";"Muebles de Comedor"
"14";"Comedor Atril 4 Sillas 2.0 Blanco - Gris 100 X";"M Design";22999;"comedor-atril-4-sillas-2-0-blanco-gris-100-x/p";"575911";"Hogar y textil";"Muebles";"Muebles de Comedor"
"15";"Silla Plegable Auditorium Blanco 44 X 45 X 79";"M Design";1590;"silla-plegable-auditorium-blanco-44-x-45-x-79/p";"575909";"Hogar y textil";"Muebles";"Muebles de Comedor"
"16";"Futón 192x99x88cm Jh8029 Café";"M Design";24999;"futon-192x99x88cm-jh8029-cafe/p";"575905";"Hogar y textil";"Muebles";"Muebles de Comedor"
