"";"nombre";"marca";"precio";"pagina";"imagen";"departamento";"categoria";"subcategoria"
"1";"Aceite Cañuelas De Girasol - 1.5 L";"CAÑUELAS";136;"aceite-canuelas-de-girasol-1-5-l/p";"427642";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"2";"Aceite De Girasol Natura 3 L.";"NATURA";290;"aceite-de-girasol-natura-3-l/p";"427745";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"3";"Aceite De Girasol Natura 1.5 L";"NATURA";147;"aceite-de-girasol-natura-1-5-l/p";"427751";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"4";"Aceite Mezcla Fritolim Clásico 126 Ml";"FRITOLIM";120;"aceite-fritolim-clasico/p";"468639";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"5";"Aceite De Girasol Natura 900 Ml";"NATURA";91;"aceite-natura-de-girasol-x-900-cc/p";"190195";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"6";"Aceite De Girasol Cocinero 1.5 L";"COCINERO";136;"aceite-de-girasol-cocinero-1-5-l/p";"468653";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"7";"Aceite Ideal Girasol 1.5 Ml";"IDEAL";121;"aceite-ideal-girasol-1-5-ml/p";"535455";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"8";"Aceite De Girasol Cada Día 1.5 Lt";"CADA DIA";121;"aceite-de-girasol-cada-dia-1-5-lt/p";"182008";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"9";"Aceite  De Girasol 120 Gr C&co";"CUISINE & CO NBE MP";119;"aceite-de-girasol-120-gr-c-co/p";"562851";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"10";"Aceite Mezcla Fritolim Manteca 126 Ml";"FRITOLIM";120;"aceite-fritolim-126-ml/p";"468633";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"11";"Aceite De Girasol Jumbo 900 Ml";"JUMBO MP";79;"aceite-de-girasol-jumbo-900ml/p";"200732";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"12";"Aceite De Maíz Mazola 900 Ml";"MAZOLA";259;"aceite-mazola-de-maiz-x-900/p";"194799";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"13";"Aceite De Girasol Cañuelas 900 Ml";"CAÑUELAS";86,9;"aceite-canuelas-de-girasol-x-900-ml/p";"210381";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"14";"Aceite Mezcla Natura Blend 900 Ml";"NATURA";219;"aceite-natura-blend-girasol-oliva/p";"208072";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"15";"Aceite De Girasol Mazola Manteca 120 Ml";"MAZOLA";153;"aerosol-mazola-de-manteca/p";"205651";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"16";"Aceite De Girasol Cocinero 900 Ml";"COCINERO";86;"aceite-cocinero-girasol-2/p";"468625";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"17";"Aceite De Maíz Mazola 500 Ml";"MAZOLA";115;"aceite-mazola-de-maiz-x500-cc/p";"194532";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"18";"Aceite De Girasol Cada Día 900 Ml";"CADA DIA";75;"aceite-de-girasol-cada-dia-900-ml/p";"189034";"Almacén";"Aceites y Vinagres";"Aceites Comunes"
"19";"Aceite Natura De Oliva";"NATURA";310;"aceite-natura-de-oliva-3/p";"495720";"Almacén";"Aceites y Vinagres";"Aceites Especiales"
"20";"Aceite De Oliva Natura Virgen 120 Ml";"NATURA";126;"aceite-natura-de-oliva-2/p";"209763";"Almacén";"Aceites y Vinagres";"Aceites Especiales"
"21";"Aceite De Oliva Oliovita Extra Virgen Clásico 500 Ml";"OLIOVITA";397,6;"aceite-oliovita-de-oliva-x-500-cc-2/p";"568751";"Almacén";"Aceites y Vinagres";"Aceites Especiales"
"22";"Aceite De Oliva Oliovita Clásico 500 Ml";"OLIOVITA";347,2;"aceite-de-oliva-oliovita-x500cc/p";"568769";"Almacén";"Aceites y Vinagres";"Aceites Especiales"
"23";"Aceite Mazola De Oliva 500 Cc";"MAZOLA";277;"aceite-mazola-de-oliva-x500cc/p";"422813";"Almacén";"Aceites y Vinagres";"Aceites Especiales"
"24";"Aceite De Oliva Cañuelas Extra Virgen Suave 500 Ml";"CAÑUELAS";303;"aceite-de-oliva-canuelas-extra-virgen-suave-500-ml/p";"208378";"Almacén";"Aceites y Vinagres";"Aceites Especiales"
