GRUPO;DESC.GRUPO;S.GRUPO;DESC.SUBGRUPO;COD.PROV;COD.PROD;PRODUCTO;COD.BARRA;KILOS;LITROS;UNIDADES;CANT TOT;PARTIC;TOTAL
97;PANIFICACION;8;TORTILLA - BOLLO;418;97067;TORTILLAS VILLECCO                  XUND;;0;0;17718;17718;2,98702525445728;17718
33;AZUCAR;1;AZUCAR;5888;33001;AZUCAR SURCO                        X1KG;7793593000016;7067;0;0;7067;1,191404643484;7067
89;POLLO;1;ENTEROS;5208;89023;POLLO FRESCO TRES ARROYOS            XKG;;6681,66;0;0;6681,66;1,12644131175624;6681,66
94;ENCURTIDOS - DULCES Y FRUTAS SECAS;4;HUEVOS;5481;94095;HUEVO COLOR LA ASUNCION             X6UN;7798021960023;0;0;33678;5613;0,946279080780488;5613
97;PANIFICACION;9;MEDIALUNAS - FACTURAS;418;97075;FACTURAS VILLECCO DE MANTECA      X UNID;;0;0;5558;5558;0,937006793332969;5558
70;VERDURAS;1;VERDURAS EN GENERAL;5465;70029;PAPA SUELTA-                         XKG;;5141,7;0;0;5141,7;0,866824006707471;5141,7
97;PANIFICACION;9;MEDIALUNAS - FACTURAS;418;97071;MEDIALUNAS VILLECCO DE MANTECA    X UNID;;0;0;5099,01;5099,01;0,859627025777751;5099,01
75;CARNICERIA;1;CARNE VACUNA - MENUDENCIAS;5564;75601;PUCHERO COMUN NOVILLO                XKG;;4892,37;0;0;4892,37;0,824790198902198;4892,37
90;LACTEOS;8;LECHE EN SACHET;389;90058;LECHE ARMONIA ENTERA SACHET-305-    X1LT;7793940305009;0;4708;0;4708;0,793707805507668;4708
97;PANIFICACION;1;PAN XKG;418;97057;PAN VILLECCO FRANCES                 XKG;;3616,77;0;0;3616,77;0,609740564937546;3616,77
92;REFRIGERADOS - EMBUTIDOS;3;HAMBURGUESAS;5590;92028;HAMBURGUESA PATY FINAS -2014-       X2UN;7790670001577;0;0;7146;3573;0,602361509999766;3573
92;REFRIGERADOS - EMBUTIDOS;3;HAMBURGUESAS;357;92910;MEDALLON CARNE SWIFT CLASICA-21526- X2UN;7790360966797;0;0;6916;3458;0,582973999882225;3458
71;FRUTAS;1;FRUTAS;5542;71033;NARANJA CRIOLLA CALILEGUA            XKG;;3401,01;0;0;3401,01;0,57336622421615;3401,01
97;PANIFICACION;1;PAN XKG;418;97120;PAN PARRILLERO VILLECCO ESP.-        XUN;;0;0;3365;3365;0,567295404743692;3365
90;LACTEOS;8;LECHE EN SACHET;389;90404;LECHE LA SERENISIMA C/CALC.DES.SACH-X1LT;7793940109003;0;3317;0;3317;0,559203226607675;3317
70;VERDURAS;1;VERDURAS EN GENERAL;5542;70026;TOMATE PERITA                        XKG;777795121520144;3268,56;0;0;3268,56;0,551036870172078;3268,56
32;LECHE;3;LECHES LARGA VIDA;255;32052;LECHE LV MILKAUT-2132-DES.VIT.A,DYC X1LT;7794820015100;0;3060;0;3060;0,515876356171084;3060
7;BEBIDAS;4;GASEOSAS;5627;7931;GASEOSA COCA COLA -195-          X2.25LT;7790895000997;0;6700,5;0;2978;0,502052218522055;2978
71;FRUTAS;1;FRUTAS;5541;71028;MANZANA DELICIOSA                    XKG;;2858,17;0;0;2858,17;0,481850432979577;2858,17
75;CARNICERIA;1;CARNE VACUNA - MENUDENCIAS;5564;75160;MOLIDA ESPECIAL NOVILLO              XKG;;2782;0;0;2782;0,469009157799985;2782
70;VERDURAS;1;VERDURAS EN GENERAL;5542;70013;TOMATE LARGA VIDA                    XKG;;2725,31;0;0;2725,31;0,45945195824726;2725,31
70;VERDURAS;1;VERDURAS EN GENERAL;6155;70193;CHOCLO HIBRIDO                       XUN;;0;0;2638;2638;0,444732623391934;2638
75;CARNICERIA;1;CARNE VACUNA - MENUDENCIAS;5564;75173;GRASA DE NOVILLO                     XKG;06334;2480,9;0;0;2480,9;0,418247598700929;2480,9
71;FRUTAS;1;FRUTAS;6176;71016;BANANA                               XKG;;2426,62;0;0;2426,62;0,40909669392545;2426,62
