codigo de barras;descripcion;pesos;unidades;utilidad;procentaje;acumulado;tipo
7793654000023 ;INDEPENDENCIA AZUCAR X 1 KG; 10.799 ; 1.838 ; 3.814 ;1,72%;1,7%;azucar
;HUEVO; 1.719 ; 1.819 ; 663 ;1,70%;3,4%;huevo
;RIVOLI FIDEO X 0.5 K; 5.019 ; 1.472 ; 1.499 ;1,38%;4,8%;fideo
7790360966797 ;SWIFT BURGER DOBLE X 112 G; 5.129 ; 1.189 ; 1.643 ;1,11%;5,9%;hamburguesa
7798141970056 ;BONANZA HARINA 000 X 1 KG; 3.299 ; 1.077 ; 863 ;1,01%;6,9%;harina
7790625001409 ;66 SALCHICHAS X 6 UNDS; 3.644 ; 967 ; 1.375 ;0,91%;7,8%;salchicha
7798048200034 ;LIMPITUS PH X UNID; 920 ; 904 ; 386 ;0,85%;8,7%;
7792540000017 ;LEDESMA AZUCAR X 1 K; 5.330 ; 738 ; 2.180 ;0,69%;9,4%;azucar
7790040405301 ;TATIN ALFAJOR BLANCO X 60 G; 1.485 ; 737 ; 357 ;0,69%;10,1%;
7791689000032 ;MUCHO GUSTO ARROZ L/FINO X 500 G; 1.782 ; 727 ; 676 ;0,68%;10,7%;arroz
;RIVOLI FIDEO ESPECIAL X 0.5 KG; 2.817 ; 719 ; 816 ;0,67%;11,4%;fideo
7790580221904 ;ARCOR PURE DE TOMATE X 520 G; 2.233 ; 666 ; 555 ;0,62%;12,0%;tomate
7790040725102 ;SERRANITAS X 3 X 315 G; 2.571 ; 629 ; 552 ;0,59%;12,6%;
7790040405608 ;TATIN ALFAJOR LECHE X 60G; 1.256 ; 622 ; 305 ;0,58%;13,2%;
7793650000027 ;CAROGRAN ARROZ 00000 X 500G; 1.074 ; 552 ; 383 ;0,52%;13,7%;arroz
7790060023684 ;COCINERO GIRASOL X 1500 CC; 8.711 ; 524 ; 4.631 ;0,49%;14,2%;aceite
7501065910127 ;ACE MATIC NAT C/SUAV X 400; 1.863 ; 518 ; 448 ;0,48%;14,7%;
7794000730014 ;ADES MANZANA X 1 L; 3.405 ; 500 ; 913 ;0,47%;15,2%;jugo
7793650000010 ;CAROGRAN ARROZ 00000 1KG.; 1.998 ; 499 ; 773 ;0,47%;15,6%;arroz
7796613008399 ;ROLLO DE COCINA M&K X 3; 3.461 ; 491 ; 1.245 ;0,46%;16,1%;
7798061000154 ;JUGO P.INCA NARANJA; 596 ; 485 ; 167 ;0,45%;16,5%;jugo
7791058002384 ;YOGUR ENTERO MANFREY DE FRUTIL; 2.946 ; 483 ; 763 ;0,45%;17,0%;yogur
;TURRON OFERTAX4; 1.660 ; 469 ; 535 ;0,44%;17,4%;
7791058002391 ;YOGUR MANFREY BEB.VAINILLA 1L; 2.852 ; 463 ; 754 ;0,43%;17,9%;yogur
7791070000115 ;PAPEL H.CAMPANITA 60MT; 682 ; 448 ; 292 ;0,42%;18,3%;higienico
7796613011474 ;FIDEO M&K LARGOS X 500 G; 1.155 ; 433 ; 287 ;0,41%;18,7%;fideo
7793940449000 ;LA SERENISIMA LECHE DESC VIT C X 1L; 2.638 ; 415 ; 538 ;0,39%;19,1%;leche
7796039001639 ;LEGITIMO ACEITE X 900 CC; 4.398 ; 409 ; 2.664 ;0,38%;19,5%;aceite
;SANDWICH DE MIGA BANDEJA; 2.892 ; 408 ; 1.754 ;0,38%;19,8%;
7790787002535 ;ILOLAY LECHE DESC LV X 1L; 2.607 ; 406 ; 727 ;0,38%;20,2%;leche
;3 ARROYOS POLLO X 1 KG; 6.318 ; 384 ; 2.491 ;0,36%;20,6%;
7791689000018 ;MUCHO GUSTO ARROZ X 1 KG; 1.789 ; 380 ; 706 ;0,36%;20,9%;arroz
77930002 ;BON O BON NEGRO X 20 G; 571 ; 377 ; 247 ;0,35%;21,3%;
7790150696750 ;LA VIRGINIA TE X 25 SAQ NUEVO; 1.081 ; 375 ; 351 ;0,35%;21,6%;te
77903501 ;OPERA OBLEAS X 55 G; 1.086 ; 370 ; 302 ;0,35%;22,0%;
7794820015100 ;MILKAUT LECHE DESCREMADA L.V X 1L; 2.214 ; 365 ; 448 ;0,34%;22,3%;leche
7793940108006 ;LA SERENISIMA LECHE ENT. CAL. AGREG X 1; 2.160 ; 364 ; 460 ;0,34%;22,7%;leche
7790072001014 ;CELUSAL X 500 G; 1.080 ; 364 ; 336 ;0,34%;23,0%;sal
7794820015094 ;MILKAUT LECHE ENTERA L.V X 1 L NUEVO; 2.215 ; 362 ; 458 ;0,34%;23,4%;leche
7790813110401 ;CALSA LEVADURA X 50 G; 1.005 ; 358 ; 307 ;0,34%;23,7%;
7791337508026 ;YOGURISIMO FORTIF X 1L FRUTILLA; 2.921 ; 357 ; 767 ;0,33%;24,0%;yogur
7790220000043 ;GRACIELA REAL 000 X 1 KG; 1.593 ; 354 ; 450 ;0,33%;24,4%;harina
7790787002528 ;ILOLAY LECHE ENTERA LV X 1L; 2.170 ; 345 ; 568 ;0,32%;24,7%;leche
7792166000170 ;FIRULETE PAPEL HIGIENICO X UNI; 305 ; 335 ; 77 ;0,31%;25,0%;higienico
7791599012521 ;HARINA INVICTA 1KG.; 1.018 ; 333 ; 283 ;0,31%;25,3%;harina
7790990184691 ;ZORRO BIO CRIST REG X 400 G; 1.351 ; 332 ; 342 ;0,31%;25,6%;
7791058002445 ;FLAN SIN HUEVO MANFREY DE VAIN; 767 ; 327 ; 260 ;0,31%;25,9%;
7790220000272 ;GRACIELA REAL 0000 X 1 KG; 1.876 ; 321 ; 524 ;0,30%;26,2%;harina
