"Emisión: 10/09/12 12:05:02
Los mas Vendidos $
Año : '2012' , Mes : 'AGO' , Cantidad  : '5000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"

"Producto","Venta $","Venta Unidades","Utilidad $","Ranking $"
"RECARGA CELULAR",14100,521,0,1
"ROSAURA PAN FRANCES/MIGNONES",12711.21326,1138.10995,10287.03907,2
"INDEPENDENCIA AZUCAR X 1 KG",10798.72413,1838.00006,3814.32406,3
"LA LOMA CREMOSO KG",9435.41135,277.35,3472.3862,4
"COCINERO GIRASOL X 1500 CC",8710.54672,524.99994,4631.29668,5
"NIDO LECHE + NUTRICION X 800 G",8225.66528,225,1975.14528,6
"3 ARROYOS POLLO X 1 KG",6318.00515,384.52502,2491.15643,7
"LEDESMA AZUCAR X 1 K",5330.40566,738.99995,2180.20578,8
"ROSAURA TORTILLAS COMUNES",5304.17879,7004.9998,2292.02886,9
"LA LOMA BARRA KG",5263.59094,103.87499,2245.54883,10
"SWIFT BURGER DOBLE X 112 G",5128.52804,1189.99991,1643.41832,11
"RIVOLI FIDEO X 0.5 K",5019.05674,1472.99998,1498.58674,12
"COCA COLA X 3000 CC",4681.43193,296,1003.33193,13
"LEGITIMO ACEITE X 900 CC",4397.66181,409.99995,2663.94177,14
"COCINERO GIRASOL X 900 ML",3649.50887,308.99999,2162.67885,15
"66 SALCHICHAS X 6 UNDS",3643.94707,967.99992,1375.24723,16
"LA SERENISIMA QUESO CREMON X K",3606.05968,86.735,991.80675,17
"ROLLO DE COCINA M&K X 3",3461.03347,491.99998,1245.15345,18
"ADES MANZANA X 1 L",3405.26629,500.99997,913.06629,19
"BONANZA HARINA 000 X 1 KG",3298.60554,1077.99999,863.02548,20
"ROSAURA PAN DE MIGA X 10 FETAS",3195.57027,258.99998,530.46046,21
"PALADINI JAMON COCIDO X KG",3192.41168,42.06499,1390.00367,22
"YOGUR ENTERO MANFREY DE FRUTIL",2945.73169,483,762.57158,23
"YOGURISIMO FORTIF X 1L FRUTILLA",2921.05741,357,767.04743,24
"SANDWICH DE MIGA BANDEJA",2892.12705,408.00002,1753.80705,25
"LA SERENISIMA CHUBUT  X K",2879.80526,43.21001,986.77529,26
"YOGUR MANFREY BEB.VAINILLA 1L",2851.61352,463.99999,754.3335,27
"COCA COLA X 2000 CC DESC",2820.50777,216,763.84769,28
"RIVOLI FIDEO ESPECIAL X 0.5 KG",2817.11076,719.99993,815.51075,29
"ROSAURA PAN HAMBUR X 4 UNID",2749.67783,677,732.21783,30
"COMBO SEDAL 350 ML 20%DTO.",2707.94101,200,2707.94101,31
"ILOLAY QUESO CREMOSO X 1 K",2695.28002,68.59498,827.43831,32
"LA SERENISIMA LECHE DESC VIT C X 1L",2637.97009,415.00002,538.07002,33
"ILOLAY LECHE DESC LV X 1L",2607.07354,406,727.29358,34
"SERRANITAS X 3 X 315 G",2571.35671,629,552.26669,35
"ROSAURA PAN DE VIENA X 6 UNID",2498.91958,625.00003,636.41958,36
"SANCOR BARRA KG",2362.93096,32.80998,892.7155,37
"BAGLEY SALVADO X 642 G",2358.24,215,507.09,38
"FANTA X 2250 CC MANZANA",2304.23773,253,389.02773,39
"ARCOR PURE DE TOMATE X 520 G",2232.93692,666.00002,554.61693,40
"MILKAUT LECHE ENTERA L.V X 1 L NUEVO",2214.55579,362.99999,457.63575,41
"MILKAUT LECHE DESCREMADA L.V  X 1L",2213.90065,365,448.42063,42
"ILOLAY LECHE ENTERA LV X 1L",2169.65648,345.99998,567.67648,43
"LA SERENISIMA LECHE ENT. CAL. AGREG X 1",2159.55051,364,459.67051,44
"HIGIENOL EXPORT X 6",2151.0266,221.99997,907.95677,45
"M&K DURAZNO LATA 820G.",2145.63311,261.99999,623.16311,46
"ROSAURA FACTURAS COMUNES",2140.17073,1511.00005,855.82068,47
"PALADINI MORTADELA KG",2111.69948,37.725,940.79214,48
"PEPSI X 2000 CM3",2096.03595,158.00002,526.57579,49
