"Emisión: 31/10/12 12:51:54
Los mas Vendidos Cant.
Año : '2012' , Mes : 'JUL' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"

"Producto","Venta $","Venta Unidades","Utilidad $","Ranking Cant."
"ROSAURA TORTILLAS COMUNES",5281.20146,8474.00044,1637.38128,1
"ROSAURA FACTURAS COMUNES",2305.51424,1873,713.46424,2
"HUEVO",1594.56388,1710,602.76388,3
"SWIFT BURGER DOBLE X 112 G",4875.38026,1195.00001,1589.13026,4
"RIVOLI FIDEO X 0.5 K",3586.28553,1171.00006,-1396.00462,5
"INDEPENDENCIA AZUCAR X 1 KG",6306.09395,1141.99998,1955.39391,6
"ROSAURA PAN FRANCES/MIGNONES",10576.30946,1127.70506,8174.29766,7
"CALDO X 1 UND",662.54335,1100.00017,387.54331,8
"BONANZA HARINA 000 X 1 KG",2272.93639,1022,541.72639,9
"BON O BON NEGRO X 20 G",1201.12536,803,482.94536,10
"Fichado a Rubro: A/ANIMALES",1245.87094,764,-0.46906,11
"LEDESMA AZUCAR X 1 K",5056.59794,709.00001,2007.89788,12
"ROSAURA PAN HAMBUR X 4 UNID",2388.90821,649.00009,454.88798,13
"MUCHO GUSTO ARROZ  L/FINO X 500 G",1514.81508,631.99999,554.17507,14
"ACE NATURALS C/SUAV X 400 G MORADO",2086.85306,630.00002,518.15302,15
"FIRULETE PAPEL HIGIENICO X UNI",550.84603,612.00001,134.68602,16
"TATIN ALFAJOR LECHE X 60G",1207.10099,599.00005,290.63091,17
"66 SALCHICHAS X 6 UNDS",2141.36266,589.99999,784.36266,18
"CAROGRAN ARROZ 00000 X 500G",1117.13755,584.00003,387.13751,19
"ROSAURA PAN DE VIENA X 6 UNID",2028.98682,566,342.30683,20
"AZUCAR SURCO X 1KG",3328.83834,564,1078.47835,21
"ROLLO DE COCINA M&K X 3",3780.85427,559,1176.39427,22
"TATIN ALFAJOR BLANCO X 60 G",1102.61653,547.99997,264.17657,23
"SERRANITAS X 3 X 315 G",2195.51313,543.99999,453.99313,24
"ILOLAY LECHE DESC LV X 1L",3461.74277,543,923.97277,25
"LA SERENISIMA LECHE DESC VIT C X 1L",3153.52031,498.00004,633.64007,26
"LIMPITUS PH X UNID",490.90683,494,199.44683,27
"GRACIELA REAL 000 X 1 KG",1568.51075,468.99999,522.84074,28
"OPERA OBLEAS X 55 G",1301.577,461,340.45701,29
"LA SERENISIMA LECHE ENT. CAL. AGREG X 1",2684.27086,455,559.42086,30
"CAROGRAN ARROZ 00000 1KG.",1773.32909,450,670.82909,31
"ILOLAY YOGUR BATIDO FRUTILLA X 125 G",841.32456,441.00001,259.90454,32
"MUCHO GUSTO ARROZ  X 1 KG",2037.25667,439.00002,786.10662,33
"ILOLAY YOGUR BATIDO VAINILLA X 125 G",824.46616,434.00002,252.42613,34
"RECARGA CELULAR",11350,432,0,35
"PURE DE TOMATES ARCOR C/AZ.520",1381.01167,421,320.09167,36
"PATY FINITAS X 2",2272.4521,396.00002,652.81204,37
"ADES MANZANA X 1 L",2569.173,394,693.73299,38
"ILOLAY LECHE ENTERA LV X 1L",2474.23113,392,638.55113,39
"PRESTO PRONTA X 500 G",1718.63057,374,318.66055,40
"ROSAURA TORTILLAS GRANDES",306.16689,371,53.88689,41
"FLAN SIN HUEVO MANFREY DE VAIN",723.15183,361,163.60182,42
"FANTA X 2250 CC MANZANA",3037.6013,346.00003,502.36107,43
"SANDWICH DE MIGA BANDEJA",2441.55541,345.00009,1479.00517,44
"TURRON OFERTAX4",1141.60862,324,364.00862,45
"BOB CHOCO",478.15455,318,194.17455,46
"PAPEL H.CAMPANITA 60MT",450.87802,317,180.62799,47
"JUGO P.INCA NARANJA",383.50064,315,96.85064,48
"LADYSOFT TOALLAS NOR X 8 UNID",937.33332,314.99998,366.13336,49
"COCINERO GIRASOL X 1500 CC",5009.69558,313.00002,2653.52554,50
"YOGUR ENTERO MANFREY DE FRUTIL",1839.80491,306,505.40491,51
