COD.PROD;PRODUCTO;TOTAL;;0
77318;jugo ades manzana t.b.            x200cc;39668;0,0282153935029895;0,0282153935029895
50148;ESPIRAL X-5                         X4UN;36648;0,0260673021351609;0,0542826956381504
77625;jugo ades manzana t.b.              x1lt;33944;0,0241439779435685;0,0784266735817189
77076;JUGO INCA BC NARANJA SOBRE-        X30GR;28659;0,0203848180498683;0,0988114916315873
77667;VINO TERMIDOR TINTO TETRA BRICK     X1LT;26301;0,0187075996904842;0,117519091322072
20008;JABON POLVO ZORRO REGULAR BIOCR.- X400GR;25949;0,0184572261270817;0,135976317449153
17150;TOALLA LADYSOFT NOR/SUA.C/ALAS-9608-X8UN;24872;0,0176911683776938;0,153667485826847
9221;ARROZ 53 BLUE BONET -73258-       X500GR;23575;0,0167686271511793;0,170436112978026
33001;AZUCAR SURCO                        X1KG;22057;0,0156888911590058;0,186125004137032
17627;PAPEL HIG.CAMPANITA CLASSIC 30MT-   X1UN;21840;0,0155345415474763;0,201659545684508
24020;HARINA BONANZA -                    X1KG;19423;0,013815357164681;0,215474902849189
18195;VELAS FAROLITO -297-               X68GR;15419;0,010967357880977;0,226442260730166
25267;MAYONESA HELLMANNS        -5968-  X118GR;13737;0,00977097056949096;0,236213231299657
4137;YERBA LA TRANQUERA SAQUITOS -576-  X25UN;13244;0,00942030532302091;0,245633536622678
6385;PICADILLO LA BLANCA DE CARNE       X90GR;12383;0,00880788589663002;0,254441422519308
25201;MAYONESA FANACOA SACHET-944802-   X118GR;12313;0,00875809569936246;0,263199518218671
1654;GALLETA LIA MEDIA TARDE  -3363-   X330GR;11931;0,00848638347998811;0,271685901698659
4054;TE LA VIRGINIA SAQ.PAPEL FILT.RAP. X25UN;11747;0,00835550639002768;0,280041408088686
17879;PAPEL HIG.FIRULETE                  X1UN;11718;0,00833487902258827;0,288376287111275
41003;SHAMPOO SEDAL CERAMIDAS -931641-   X10ML;11161;0,00793869131004503;0,29631497842132
20471;JABON POLVO ALA REG.MULTIACC.-0125-X400G;10457;0,00743794418323993;0,30375292260456
