"Emisión: 31/10/12 12:53:45
Los mas Vendidos Cant.
Año : '2012' , Mes : 'JUN' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"

"Producto","Venta $","Venta Unidades","Utilidad $","Ranking Cant."
"ROSAURA TORTILLAS COMUNES",4895.54987,8088.0001,1417.70983,1
"HUEVO",1697.83001,1939.00001,611.39002,2
"ROSAURA FACTURAS COMUNES",1929.97468,1597,572.52468,3
"RIVOLI FIDEO X 0.5 K",3436.05,1132,-1601.35,4
"SWIFT BURGER DOBLE X 112 G",4583.63353,1125.0001,1489.88326,5
"ROSAURA PAN FRANCES/MIGNONES",9418.83542,1033.77502,7216.8946,6
"CALDO X 1 UND",573.7,954,335.20001,7
"Fichado a Rubro: A/ANIMALES",1089.75009,839.00005,0,8
"DEL JARDIN AZUCAR X 1 KG",4482.90206,772.00002,561.14206,9
"LIMPITUS PH X UNID",754.65998,748.00002,313.33997,10
"CAROGRAN ARROZ 00000 X 500G",1366.4433,716,471.44331,11
"66 SALCHICHAS X 6 UNDS",2480.17993,698.99999,914.41999,12
"INDEPENDENCIA AZUCAR X 1 KG",3738.97,693,1036.27,13
"LEDESMA AZUCAR X 1 K",4757.41345,672,1867.81345,14
"ROSAURA PAN HAMBUR X 4 UNID",2089.26114,640.00003,144.00103,15
"ACE NATURALS C/SUAV X 400 G MORADO",2075.64004,626,496.50001,16
"MUCHO GUSTO ARROZ  X 1 KG",2702.92212,593.99998,857.47217,17
"TURRON OFERTAX4",1697.56026,552.00008,372.76006,18
"SERRANITAS X 3 X 315 G",2182.16999,538.99999,503.56999,19
"ILOLAY LECHE ENTERA LV X 1L",3165.98708,517.99998,804.54716,20
"LEGITIMO ACEITE X 900 CC",5082.58,509.00001,3056.75998,21
"ILOLAY LECHE DESC LV X 1L",3133.83,504,830.17,22
"GRACIELA REAL 000 X 1 KG",1419.70002,499.99998,450.10002,23
"ROSAURA PAN DE VIENA X 6 UNID",1615.93005,498.00002,229.55,24
"GRACIELA REAL 0000 X 1 KG",1824.15146,449.00001,412.84143,25
"CAROGRAN ARROZ 00000 1KG.",1763.88999,448.99999,663.83999,26
"BON O BON NEGRO X 20 G",607.58,442,194.45999,27
"PAPEL H.CAMPANITA 60MT",588.89,420.99999,235.25001,28
"OPERA OBLEAS X 55 G",1133.34,403,334.43,29
"AZUCAR SURCO X 1KG",2405.19978,399.99996,809.19988,30
"LA SERENISIMA LECHE DESC VIT C X 1L",2505.16021,399.00003,490.62004,31
"ROSAURA TORTILLAS GRANDES",305.74979,380,47.34979,32
"PRESTO PRONTA X 500 G",1749.37001,377.99999,336.37002,33
"LA SERENISIMA LECHE ENT. CAL. AGREG X 1",2202.9,372.99999,464.72999,34
"SABBORTUCC P/TOMATE X 520",854.73999,369.99999,233.13999,35
"PEPSI X 2000 CM3",4009.57984,368,1023.57984,36
"PURE DE TOMATES ARCOR C/AZ.520",1215.96987,366.99997,354.48995,37
"RIVOLI FIDEO ESPECIAL X 0.5 KG",1254.12001,353.99999,-579.59996,38
"NIDO DIA A DIA BOLSA X 800G",9120.54,347.00001,1771.07999,39
"ADES MANZANA X 1 L",2241.03,342,524.25,40
"ILOLAY YOGUR BATIDO FRUTILLA X 125 G",604.45007,337.00004,175.37002,41
"SANDWICH DE MIGA BANDEJA",2073.37,329,1155.46,42
"MUCHO GUSTO ARROZ  L/FINO X 500 G",778.68,322,288.75,43
"JUGO P.INCA NARANJA",384.78004,316,99.09004,44
"ROLLO DE COCINA M&K X 3",2162.33644,309,830.27644,45
"FIDEO M&K LARGOS X 500 G",760.33019,301.99998,180.49018,46
"HARINA TIPO COMUN 000 X 1K",700.06751,301,207.84751,47
"3 ARROYOS POLLO X 1 KG",4840.2419,297.31,1900.5894,48
"KNORR CALDO DE GALL X 12 EDI COLECC",2049.2001,295.00002,592.91003,49
"FIDEO M&K CODOS X 500 G",641.32,290.99997,146.61997,50
