"Emisión: 31/10/12 12:49:01
Los mas Vendidos Cant.
Año : '2012' , Mes : 'OCT' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"

"Producto","Venta $","Venta Unidades","Utilidad $","Ranking Cant."
"ROSAURA TORTILLAS COMUNES",4454.09619,5885.00011,1923.54612,1
"HUEVO",1445.49709,1525.99995,590.93714,2
"ROSAURA FACTURAS COMUNES",1850.59969,1316.00006,731.99963,3
"RIVOLI FIDEO X 0.5 K",3766.24122,1118.00002,1396.08125,4
"MUCHO GUSTO ARROZ  L/FINO X 500 G",2684.65005,1016.99999,996.43005,5
"ROSAURA PAN FRANCES/MIGNONES",11158.47919,1003.44503,9021.1412,6
"Fichado a Rubro: A/ANIMALES",1266.97784,938.00005,-0.43319,7
"SWIFT BURGER DOBLE X 112 G",4450.70787,927.00002,1373.06782,8
"SUCRE AZUCAR TIPO A 1KG.",5416.72309,901.00002,2263.22298,9
"CALDO X 1 UND",541.66202,803,245.16202,10
"BON O BON NEGRO X 20 G",1172.17481,776.00003,504.81479,11
"M&K DURAZNO LATA 820G.",5699.69928,702,1467.26927,12
"66 SALCHICHAS X 6 UNDS",2497.18871,610.00002,984.38873,13
"GRANIX  SKARCHITOS CEREAL  X 240 G",2951.5234,583,913.20336,14
"LEDESMA AZUCAR X 1 K",4102.16885,573,1695.56886,15
"ROSAURA PAN HAMBUR X 4 UNID",2321.34148,571.00004,619.76135,16
"ACE NATURALS C/SUAV X 400 G MORADO",1953.76562,543.00001,384.49559,17
"PAPEL H.CAMPANITA 60MT",795.8899,528,336.5299,18
"RECARGA CELULAR",12680,481,0,19
"COCINERO GIRASOL X 1500 CC",7588.10907,462.00001,3998.36901,20
"ROSAURA PAN DE VIENA X 6 UNID",1810.95469,451.00002,466.97467,21
"SERRANITAS X 3 X 315 G",2153.84058,451.00001,513.11058,22
"BOOG NARANJA 30 G",664.63926,437,210.15926,23
"OPERA OBLEAS X 55 G",1227.90234,407,287.73234,24
"TABLETA X 1 UND",303.37,402,130.51,25
"LA SERENISIMA LECHE ENT. CAL. AGREG X 1",2381.06501,389.99997,498.05514,26
"ARCOR PURE DE TOMATE X 520 G",1384.53739,388.00001,367.9774,27
"ILOLAY YOGUR ENT.FRUTILLA. BEBIBLE X 1 L",2484.47649,382,587.82649,28
"COCA COLA X 2000 CC DESC",4513.43703,381.00005,1107.63667,29
"SANDWICH DE MIGA BANDEJA",2657.80504,378.00002,1603.185,30
"HARINA INVICTA 1KG.",1149.35722,376,401.5172,31
"PATY FINITAS X 2",2224.75083,370,667.05083,32
"MILKAUT LECHE DESCREMADA L.V  X 1L",2214.4518,368.00005,431.57153,33
"LA SERENISIMA LECHE DESC VIT C X 1L",2384.17823,361,490.31823,34
"YOGUR MANFREY YOFREY ENT.VAINI",668.06892,351,176.66894,35
"ILOLAY YOGUR BATIDO FRUTILLA X 125 G",662.10783,348.00001,192.30784,36
"ILOLAY LECHE DESC LV X 1L",2216.77328,346.00001,614.7932,37
"YOGUR ENTERO MANFREY DE FRUTIL",2455.27903,338,629.37895,38
"X5 ESPIRAL X 4 UNID SOBRE",574.14666,337.00001,218.05665,39
"ILOLAY YOGUR BATIDO VAINILLA X 125 G",638.38782,336.00004,184.78784,40
"X5 ESPIRAL CAJA X 12 UNID",1901.71744,336,640.91744,41
"ROSAURA PAN DE MIGA X 10 FETAS",4121.70706,328.99997,736.2976,42
"ROLISU PAPEL HIGIENICO X UNID",410.49004,324.00003,167.35002,43
"LA TRANQUERA YERBA MATE X 25 SAQ",1678.7424,316.00001,524.72234,44
"ADES MANZANA X 1 L",2395.65044,316,550.21044,45
"FAVORITA HARINA 000 X 1 KG",1087.37932,315.00002,303.02932,46
"YOGUR MANFREY YOFREY ENT.D.LEC",583.2326,307,153.4326,47
"ROSAURA TORTILLAS GRANDES",276.43003,302.00002,71.07002,48
"SAGEMULLER 000 X 1 KG",885.76,299,293.98,49
