"Emisión: 31/10/12 12:45:13
Los mas Vendidos Cant.
Año : '2012' , Mes : 'SEP' , Cantidad. : '1000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"

"Producto","Venta $","Venta Unidades","Utilidad $","Ranking Cant."
"ROSAURA TORTILLAS COMUNES",4534.1711,5997.0006,1955.46084,1
"HUEVO",1481.4799,1558.00014,585.87983,2
"CALDO X 1 UND",811.16506,1335.99999,477.16507,3
"RIVOLI FIDEO X 0.5 K",4458.03959,1313.99999,1372.65957,4
"ROSAURA FACTURAS COMUNES",1858.96398,1313.99993,742.06402,5
"SUCRE AZUCAR TIPO A 1KG.",6367.70921,1055.99999,2671.70919,6
"ROSAURA PAN FRANCES/MIGNONES",11735.48621,1053.35493,9491.84015,7
"Fichado a Rubro: A/ANIMALES",1156.42011,1036.99998,-0.87989,8
"BONANZA HARINA 000 X 1 KG",3128.96397,1020.99998,858.30398,9
"SWIFT BURGER DOBLE X 112 G",4561.17171,955,1390.57163,10
"66 SALCHICHAS X 6 UNDS",3562.03047,864.9999,1416.83051,11
"PAPEL H.CAMPANITA 60MT",1216.07254,797,522.68254,12
"M&K DURAZNO LATA 820G.",5993.05153,731.99995,1696.21167,13
"LEDESMA AZUCAR X 1 K",5198.70531,724.00004,2157.90509,14
"ROSAURA PAN DE VIENA X 6 UNID",2665.97381,663.00001,690.23381,15
"CAROGRAN ARROZ 00000 X 500G",1371.61993,652.00001,515.61994,16
"ROSAURA PAN HAMBUR X 4 UNID",2522.31038,620.99998,671.73043,17
"HARINA INVICTA 1KG.",1873.87741,614.99999,556.15741,18
"BON O BON NEGRO X 20 G",894.29002,591,386.03002,19
"MUCHO GUSTO ARROZ  L/FINO X 500 G",1498.65227,568,563.33231,20
"SERRANITAS X 3 X 315 G",2580.68677,559.99999,568.60677,21
"COCINERO GIRASOL X 900 ML",6391.43113,534.00002,3790.85109,22
"COCA COLA X 2000 CC DESC",6161.07329,529,1415.94329,23
"GRANIX  SKARCHITOS CEREAL  X 240 G",2445.16895,477.00003,775.66889,24
"CAROGRAN ARROZ 00000 1KG.",2047.66505,475.00002,811.91507,25
"TATIN ALFAJOR LECHE X 60G",950.07773,468,234.03773,26
"TURRON OFERTAX4",1627.41186,462.00001,518.61184,27
"3 ARROYOS POLLO X 1 KG",7400.02927,453.14495,2192.34715,28
"ACE NATURALS C/SUAV X 400 G MORADO",1660.83559,452.99997,351.66558,29
"FIDEO M&K LARGOS X 500 G",1301.26894,452.00002,379.18894,30
"ADES MANZANA X 1 L",3338.60923,448.00002,855.03924,31
"RECARGA CELULAR",11820,445,0,32
"X5 ESPIRAL X 4 UNID SOBRE",721.75927,439.00002,243.24932,33
"ARCOR PURE DE TOMATE X 520 G",1531.11275,426.00004,414.99285,34
"COCINERO GIRASOL X 1500 CC",7065.13846,422.99997,3778.42857,35
"JUGO P.INCA NARANJA",515.90544,421.99998,148.76543,36
"YOGUR ENTERO MANFREY DE FRUTIL",2592.63371,403,605.74385,37
"MILKAUT LECHE DESCREMADA L.V  X 1L",2404.62475,399.00004,505.38474,38
"LA SERENISIMA LECHE DESC VIT C X 1L",2477.08865,392.00002,493.56863,39
"INDEPENDENCIA AZUCAR X 1 KG",2211.27158,389,733.07158,40
"ROLISU PAPEL HIGIENICO X UNID",492.32774,389,173.34774,40
"TATIN ALFAJOR BLANCO X 60 G",769.65889,382.99995,183.66894,42
"CELUSAL X 500 G",1094.93084,367,348.27083,43
"LA SERENISIMA LECHE ENT. CAL. AGREG X 1",2150.75104,363.99999,450.87103,44
"ZORRO BIO CRIST REG X 400 G",1521.49529,360,427.09523,45
"ILOLAY LECHE DESC LV X 1L",2292.17026,357.00005,639.26002,46
"SANDWICH DE MIGA BANDEJA",2435.96341,346,1470.62341,47
"M&K SAL FINA 500G.",445.45585,342.99997,229.3658,48
"ROSAURA PAN DE MIGA X 10 FETAS",4211.38633,339.99996,712.78639,49
