departamento|categoria|subcategoria|url
Almacén|Aceites y Vinagres|Aceites Comunes|https://www.jumbo.com.ar/almacen/aceites-y-vinagres/aceites-comunes
Almacén|Aceites y Vinagres|Aceites Especiales|https://www.jumbo.com.ar/almacen/aceites-y-vinagres/aceites-especiales
Almacén|Aceites y Vinagres|Acetos|https://www.jumbo.com.ar/almacen/aceites-y-vinagres/acetos
Almacén|Aceites y Vinagres|Jugos de Limón|https://www.jumbo.com.ar/almacen/aceites-y-vinagres/jugos-de-limon
Almacén|Aceites y Vinagres|Vinagres|https://www.jumbo.com.ar/almacen/aceites-y-vinagres/vinagres
Almacén|Aderezos|Mayonesas|https://www.jumbo.com.ar/almacen/aderezos/mayonesas
Almacén|Aderezos|Ketchup|https://www.jumbo.com.ar/almacen/aderezos/ketchup
Almacén|Aderezos|Mostazas|https://www.jumbo.com.ar/almacen/aderezos/mostazas
Almacén|Aderezos|Salsas Golf|https://www.jumbo.com.ar/almacen/aderezos/salsas-golf
Almacén|Aderezos|Salsas Frías|https://www.jumbo.com.ar/almacen/aderezos/salsas-frias
Almacén|Aderezos|Otros Condimentos|https://www.jumbo.com.ar/almacen/aderezos/otros-condimentos
Almacén|Arroz y Legumbres|Arroz|https://www.jumbo.com.ar/almacen/arroz-y-legumbres/arroz
Almacén|Arroz y Legumbres|Arroz Listos|https://www.jumbo.com.ar/almacen/arroz-y-legumbres/arroz-listos
Almacén|Arroz y Legumbres|Legumbres|https://www.jumbo.com.ar/almacen/arroz-y-legumbres/legumbres
Almacén|Conservas|Conservas de Carne|https://www.jumbo.com.ar/almacen/conservas/conservas-de-carne
Almacén|Conservas|Conservas de Frutas|https://www.jumbo.com.ar/almacen/conservas/conservas-de-frutas
Almacén|Conservas|Conservas de Pescado|https://www.jumbo.com.ar/almacen/conservas/conservas-de-pescado
Almacén|Conservas|Conservas de Verduras y Legumbres|https://www.jumbo.com.ar/almacen/conservas/conservas-de-verduras-y-legumbres
Almacén|Desayuno y Merienda|Azúcar y Edulcorantes|https://www.jumbo.com.ar/almacen/desayuno-y-merienda/azucar-y-edulcorantes
Almacén|Desayuno y Merienda|Bizcochuelos, Budines y Magdalenas|https://www.jumbo.com.ar/almacen/desayuno-y-merienda/bizcochuelos-budines-y-magdalenas
Almacén|Desayuno y Merienda|Cacao y Saborizantes|https://www.jumbo.com.ar/almacen/desayuno-y-merienda/cacao-y-saborizantes
Almacén|Desayuno y Merienda|Cafés|https://www.jumbo.com.ar/almacen/desayuno-y-merienda/cafes
Almacén|Desayuno y Merienda|Cereales|https://www.jumbo.com.ar/almacen/desayuno-y-merienda/cereales
Almacén|Desayuno y Merienda|Galletitas Dulces|https://www.jumbo.com.ar/almacen/desayuno-y-merienda/galletitas-dulces
Almacén|Desayuno y Merienda|Galletitas Saladas|https://www.jumbo.com.ar/almacen/desayuno-y-merienda/galletitas-saladas
Almacén|Desayuno y Merienda|Leches|https://www.jumbo.com.ar/almacen/desayuno-y-merienda/leches
Almacén|Desayuno y Merienda|Mermeladas y Jaleas|https://www.jumbo.com.ar/almacen/desayuno-y-merienda/mermeladas-y-jaleas
Almacén|Desayuno y Merienda|Piononos|https://www.jumbo.com.ar/almacen/desayuno-y-merienda/piononos
Almacén|Desayuno y Merienda|Tés|https://www.jumbo.com.ar/almacen/desayuno-y-merienda/tes
