id|nombre|precio|rubro|url_imagen|url_producto
00013|Jugo De Limón Minerva 500 Ml|122.4|Almacén > Aceites y Vinagres > Jugos de Limón|468266-512-512|/jugo-minerva-de-limon-ecobotella-x500
00014|""|0.0|Almacén > Aceites y Vinagres > Jugos de Limón||""
07911|Jugo De Limón Minerva 250 Ml|65.03|Almacén > Aceites y Vinagres > Jugos de Limón|468559-512-512|/jugo-minerva-de-limon
00016|Jugo De Limón Dos Anclas 1 L|223.38|Almacén > Aceites y Vinagres > Jugos de Limón|191113-512-512|/jugo-de-limon-dos-anclas-x-1000cc
07870|Jugo De Limón Monte Alto 1 L|212.16|Almacén > Aceites y Vinagres > Jugos de Limón|567494-512-512|/jugo-de-limon-monte-alto-x-1-lt
07294|Jugo De Limón Dos Anclas 500 Ml|127.5|Almacén > Aceites y Vinagres > Jugos de Limón|191110-512-512|/jugo-de-limon-dos-anclas-500ccc
05973|Jugo De Limón Menoyo 250 Ml|73.45|Almacén > Aceites y Vinagres > Jugos de Limón|178851-512-512|/jugo-menoyo-de-limon
00001|Aderezo Salsa Golf Natura 250 Gr|55.59|Almacén > Aderezos > Salsas Golf|191230-512-512|/salsa-golf-natura
00002|""|0.0|Almacén > Aderezos > Salsas Golf||""
00003|Salsa Golf Hellmanns Doypack 250 Gr|79.05|Almacén > Aderezos > Salsas Golf|537981-512-512|/salsa-golf-hellmanns-doypack-250-gr
00023|Vinagre De Alcohol Clasico Botella 1 Lt.|80.58|Almacén > Aceites y Vinagres > Vinagres|567524-512-512|/vinagre-de-alcohol-clasicox1lt
00018|""|0.0|Almacén > Aceites y Vinagres > Vinagres||""
00022|Vinagre De Manzana Dos Anclas 1 L|103.02|Almacén > Aceites y Vinagres > Vinagres|428067-512-512|/vinagre-dos-anclas-de-manzana-x-1-lt
07684|Vinagre De Alcohol Dos Anclas 1 L|70.38|Almacén > Aceites y Vinagres > Vinagres|423186-512-512|/vinagre-dos-anclas-de-alcohol-x-1-lt
00017|Vinagre Manzana Alcazar 1000 Ml|74.15|Almacén > Aceites y Vinagres > Vinagres|578501-512-512|/vinagre-manzana-alcazar-1000-ml
00019|Vinagre De Manzana Dos Anclas 500 Ml|65.28|Almacén > Aceites y Vinagres > Vinagres|180940-512-512|/vinagre-dos-anclas-de-manzana-x-500-cc
00026|Vinagre De Vino Dos Anclas 1 L|92.82|Almacén > Aceites y Vinagres > Vinagres|428066-512-512|/vinagre-dos-anclas-de-vino-x-1-lt
08093|Vinagre Alcazar De Alcohol X  500  Cc.|26.75|Almacén > Aceites y Vinagres > Vinagres|578416-512-512|/vinagre-alcazar-de-alcohol-2
00020|Vinagre De Manzana Jumbo 1 L|141.78|Almacén > Aceites y Vinagres > Vinagres|206949-512-512|/vinagre-de-manzana-jumbo
00024|Vinagre De Vino Jumbo 500 Ml|71.3|Almacén > Aceites y Vinagres > Vinagres|206755-512-512|/vinagre-de-vino-jumbo
05977|Vinagre De Vino Menoyo 1 L|121.38|Almacén > Aceites y Vinagres > Vinagres|584806-512-512|/vinagre-menoyo-de-vino
00028|Vinagre De Manzana Jumbo 500 Ml|84.56|Almacén > Aceites y Vinagres > Vinagres|558028-512-512|/vinagre-de-manzana-jumbo-2
00025|Vinagre Castello De Arroz 750 Ml|433.5|Almacén > Aceites y Vinagres > Vinagres|177573-512-512|/vinagre-castello-de-arroz-x-750-ml
07287|Vinagre De Vino Menoyo 500 Ml|74.36|Almacén > Aceites y Vinagres > Vinagres|584807-512-512|/vinagre-menoyo-de-vino-2
05975|Vinagre De Alcohol Menoyo 500 Ml|57.02|Almacén > Aceites y Vinagres > Vinagres|584808-512-512|/vinagre-menoyo-de-alcohol
05976|Vinagre De Manzana Menoyo 1 L|141.78|Almacén > Aceites y Vinagres > Vinagres|584803-512-512|/vinagre-menoyo-de-manzana-2
00004|Aderezo Ketchup Heinz Rocket Up Side Down 397 Gr.|233.58|Almacén > Aderezos > Ketchup|554953-512-512|/ketchup-heinz-x-397-gr
00005|""|0.0|Almacén > Aderezos > Ketchup||""
00006|Ketchup Hellmanns Doypack 250 Gr|78.03|Almacén > Aderezos > Ketchup|596501-512-512|/ketchup-hellmanns-doypack-250-gr
05983|Aderezo Ketchup Natura 500 Gr|116.69|Almacén > Aderezos > Ketchup|200473-512-512|/ketchup-natura-2
07996|Aderezo Ketchup Hot La Campagnola 250 Gr|62.22|Almacén > Aderezos > Ketchup|194528-512-512|/aderezo-ketchup-hot-la-campagnola-250-gr
07832|Ketchup Heinz Doy-pack 190gr|91.7|Almacén > Aderezos > Ketchup|555017-512-512|/ketchup-heinz-doy-pack-190gr
08056|Ketchup Heinz 397 Gr|196.86|Almacén > Aderezos > Ketchup|554966-512-512|/ketchup-heinz-397-gr
00008|Ketchup Fanacoa Regular 250 Gr|46.82|Almacén > Aderezos > Ketchup|424724-512-512|/ketchup-fanacoa
00009|Aderezo Sabor Humo 180 Ml|121.38|Almacén > Aderezos > Ketchup|471609-512-512|/aderezo-sabor-humo-x180ml
07580|Aderezo Ketchup La Campagnola 250 Gr|62.22|Almacén > Aderezos > Ketchup|584777-512-512|/ketchup-la-campagnola-2
05984|Aderezo Ketchup Natura 250 Gr|59.67|Almacén > Aderezos > Ketchup|191221-512-512|/ketchup-natura
00012|Ketchup Ri-k Regular 250 Gr|53.55|Almacén > Aderezos > Ketchup|557956-512-512|/ketchup-ri-k
05985|Aderezo Ketchup Mutti 340 Gr|304.98|Almacén > Aderezos > Ketchup|177744-512-512|/ketchup-mutti-botella-340-gr
00011|Honey Ketchup Aleluya 200 Gr|111.18|Almacén > Aderezos > Ketchup|538505-512-512|/honey-ketchup-aleluya-200-gr
