id|marca|nombre|precio|precio_1|precio_2|precio_3|precio_unitario|rubro|url_imagen|url_producto
10747|HELLMANN´S|Ketchup Hellmanns Doypack 250gr|79.59||||$ 79,59|Almacén > Aderezos > Ketchup|605462-512-512|ketchup-hellmanns-doypack-250-gr/p
00003|HELLMANN´S|Ketchup Hellmann's Doypack 500gr|155.02||||$ 155,02|Almacén > Aderezos > Ketchup|605460-512-512|ketchup-hellmann-s-2/p
10750|HEINZ|Ketchup Heinz Doy-pack 190gr|127.6||||$ 127,60|Almacén > Aderezos > Ketchup|555017-512-512|ketchup-heinz-doy-pack-190gr/p
10749|HEINZ|Ketchup Heinz 397gr|228.8||||$ 228,80|Almacén > Aderezos > Ketchup|554966-512-512|ketchup-heinz-397-gr/p
11597|HEINZ|Aderezo Ketchup Heinz Rocket Up Side Down 397gr|312.0||||$ 312,00|Almacén > Aderezos > Ketchup|554953-512-512|ketchup-heinz-x-397-gr/p
10752|LA PARMESANA|Aderezo Sabor Humo 180ml|123.81||||$ 123,81|Almacén > Aderezos > Ketchup|471609-512-512|aderezo-sabor-humo-x180ml/p
10732|CASALTA|Vinagre De Alcohol Clasico Botella 1lt|82.19||||$ 82,19|Almacén > Aceites y Vinagres > Vinagres|567524-512-512|vinagre-de-alcohol-clasicox1lt/p
10736|ALCAZAR|Vinagre Manzana Alcazar 1000ml|84.1||||$ 84,10|Almacén > Aceites y Vinagres > Vinagres|578501-512-512|vinagre-manzana-alcazar-1000-ml/p
10738|MENOYO|Vinagre De Vino Menoyo 500ml|75.85||||$ 75,85|Almacén > Aceites y Vinagres > Vinagres|584807-512-512|vinagre-menoyo-de-vino-2/p
10739|MENOYO|Vinagre De Manzana Menoyo 1lt|144.62||||$ 144,62|Almacén > Aceites y Vinagres > Vinagres|584803-512-512|vinagre-menoyo-de-manzana-2/p
10737|MENOYO|Vinagre De Manzana Menoyo 500ml|87.91||||$ 87,91|Almacén > Aceites y Vinagres > Vinagres|584805-512-512|vinagre-menoyo-de-manzana/p
10735|MENOYO|Vinagre De Alcohol Menoyo 500ml|58.16||||$ 58,16|Almacén > Aceites y Vinagres > Vinagres|584808-512-512|vinagre-menoyo-de-alcohol/p
10740|MENOYO|Vinagre De Vino Menoyo 1lt|123.81||||$ 123,81|Almacén > Aceites y Vinagres > Vinagres|584806-512-512|vinagre-menoyo-de-vino/p
11511|ALCAZAR|Vinagre Alcazar De Alcohol x 500cc|30.6||||$ 30,60|Almacén > Aceites y Vinagres > Vinagres|578416-512-512|vinagre-alcazar-de-alcohol-2/p
10745|JUMBO MP|Vinagre De Vino Jumbo 1lt|123.81||||$ 123,81|Almacén > Aceites y Vinagres > Vinagres|206948-512-512|vinagre-de-vino-jumbo-2/p
10743|CASTELLO DE ARROZ|Vinagre Castello De Arroz 750ml|442.17||||$ 442,17|Almacén > Aceites y Vinagres > Vinagres|177573-512-512|vinagre-castello-de-arroz-x-750-ml/p
00055|JUMBO MP|Vinagre De Vino Jumbo 500ml|72.73||||$ 72,73|Almacén > Aceites y Vinagres > Vinagres|206755-512-512|vinagre-de-vino-jumbo/p
10741|JUMBO MP|Vinagre De Manzana Jumbo 1lt|144.62||||$ 144,62|Almacén > Aceites y Vinagres > Vinagres|206949-512-512|vinagre-de-manzana-jumbo/p
10746|ZUELO|Vinagre Zuelo Super Premium 250cc|321.48||||$ 321,48|Almacén > Aceites y Vinagres > Vinagres|578717-512-512|vinagre-zuelo-super-premium-250-cc/p
11974|CASALTA|Vinagre De Vino Casalta 500ml|64.4||||$ 64,40|Almacén > Aceites y Vinagres > Vinagres|567517-512-512|vinagre-de-vino-clasico-casalta-x-500-cc/p
10703|CASALTA|Aceto Balsámico Casalta Reducción 400ml|349.69||||$ 349,69|Almacén > Aceites y Vinagres > Acetos|567511-512-512|aceto-casalta-reduccion-x-400-ml/p
00062|COCINERO|Aceto Balsamico En Reduccion x 250ml|174.78||||$ 174,78|Almacén > Aceites y Vinagres > Acetos|614801-512-512|aceto-balsamico-en-reduccion-x250-ml/p
10705|CASALTA|Aceto Balsámico Casalta Reducción 250ml|257.81||||$ 257,81|Almacén > Aceites y Vinagres > Acetos|567508-512-512|aceto-reduccion-casalta-x-250ml/p
10706|CASALTA|Aceto Balsámico Casalta Clásico 250ml|148.56||||$ 148,56|Almacén > Aceites y Vinagres > Acetos|567500-512-512|aceto-balsamico-clasico-casalta-x-250ml/p
10708|MONTERREY|Aceto Balsamico Monterrey 250ml|87.45||||$ 87,45|Almacén > Aceites y Vinagres > Acetos|570098-512-512|aceto-balsamico-monterrey-250-ml/p
00064|MENOYO|Aceto Balsámico Menoyo 250ml|173.69||||$ 173,69|Almacén > Aceites y Vinagres > Acetos|584799-512-512|aceto-balsamico-menoyo-x-250-cc-2/p
10714|MAZZETTI|Aceto Balsámico Angelo 500ml|349.15||||$ 349,15|Almacén > Aceites y Vinagres > Acetos|442992-512-512|aceto-balsamico-angelo/p
10707|DOS ANCLAS|Aceto Balsámico Dos Anclas 250ml|147.47||||$ 147,47|Almacén > Aceites y Vinagres > Acetos|180254-512-512|aceto-balsamico-dos-anclas-x-250-cc/p
10715|TOSCANA|Aceto Balsámico La Toscana 250ml|204.28||||$ 204,28|Almacén > Aceites y Vinagres > Acetos|209583-512-512|aceto-balsamico-la-toscana-botella-250/p
10716|MAZZETTI|Aceto Balsámico Mazzetti 250ml|349.15||||$ 349,15|Almacén > Aceites y Vinagres > Acetos|432338-512-512|aceto-balsamico-mazzetti-x-250-ml-2/p
10713|COCINERO|Aderezo Light Clásico Cocinero x 500ml|84.35||||$ 84,35|Almacén > Aceites y Vinagres > Acetos|614611-512-512|aderezo-light-clasico-cocinero-x500-ml/p
10711|FAVINCO|Aceto Balsamico Espeso 500ml|262.19||||$ 262,19|Almacén > Aceites y Vinagres > Acetos|567533-512-512|aceto-balsamico-espeso-500-ml/p
10712|CASALTA|Aceto Balsámico Casalta Ahumado 400ml|253.44||||$ 253,44|Almacén > Aceites y Vinagres > Acetos|567520-512-512|aceto-clasico-ahumado-casalta-x-400ml/p
00071|FAVINCO|Aceto Balsamico Espeso Ahumado 500ml|262.19||||$ 262,19|Almacén > Aceites y Vinagres > Acetos|567535-512-512|aceto-balsamico-espeso-ahumado-500-ml/p
10717|MONINI|Aceto Balsámico Monini - Bianco 500ml|349.15||||$ 349,15|Almacén > Aceites y Vinagres > Acetos|488296-512-512|aceto-balsamico-monini-bianco-botella-x-500ml/p
00073|FAVINCO|Aceto Balsamico Espeso 250ml|182.44||||$ 182,44|Almacén > Aceites y Vinagres > Acetos|567536-512-512|aceto-balsamico-espeso-250-ml/p
10718|SAN GIORGIO|Aceto Balsámico San Giorgio 250ml|501.42||||$ 501,42|Almacén > Aceites y Vinagres > Acetos|192272-512-512|aceto-san-giorgio-x-250-cc/p
00008|NATURA|Aceite De Girasol Natura 1,1lt|160.52||||$ 160,52|Almacén > Aceites y Vinagres > Aceites Comunes|427751-512-512|aceite-de-girasol-natura-1-5-l/p
10720|PUREZA|Aceite Girasol Pureza 1,5lt|185.63||||$ 185,63|Almacén > Aceites y Vinagres > Aceites Comunes|591713-512-512|aceite-girasol-pureza-1-5-l/p
10722|CUISINE & CO NBE MP|Aceite De Girasol 120gr Cuisine & Co|129.95||||$ 129,95|Almacén > Aceites y Vinagres > Aceites Comunes|601152-512-512|aceite-de-girasol-120-gr-cuisine-co/p
11899|NATURA|Aceite De Girasol Natura 900ml|99.37||||$ 99,37|Almacén > Aceites y Vinagres > Aceites Comunes|190195-512-512|aceite-natura-de-girasol-x-900-cc/p
11638|COCINERO|Aceite Girasol Cocinero Plus Oleico 900lt|137.19||||$ 137,19|Almacén > Aceites y Vinagres > Aceites Comunes|614845-512-512|aceite-girasol-cocinero-plus-oleico-900-l/p
00012|CUISINE & CO NBE MP|Aceite De Girasol Cuisine & Co 1,5lt|185.0||||$ 185,00|Almacén > Aceites y Vinagres > Aceites Comunes|601231-512-512|aceite-de-girasol-cuisine-co-1-5l/p
00016|CADA DIA|Aceite De Girasol Cada Día 1,1lt|153.0||||$ 153,00|Almacén > Aceites y Vinagres > Aceites Comunes|182008-512-512|aceite-de-girasol-cada-dia-1-5-lt/p
10724|PUREZA|Aceite Girasol Pureza 0,9lt|113.99||||$ 113,99|Almacén > Aceites y Vinagres > Aceites Comunes|591712-512-512|aceite-girasol-pureza-0-9-l/p
10725|CUISINE & CO NBE MP|Aceite De Girasol Cuisine & Co 900ml|119.0||||$ 119,00|Almacén > Aceites y Vinagres > Aceites Comunes|601232-512-512|aceite-de-girasol-cuisine-co-900-ml/p
00018|LIRA|Aceite Olivado Lira x 900ml|259.2||||$ 259,20|Almacén > Aceites y Vinagres > Aceites Comunes|614828-512-512|aceite-olivado-lira-x900-ml/p
00019|PRIMOR|Aceite De Girasol Primor 900ml|95.0||||$ 95,00|Almacén > Aceites y Vinagres > Aceites Comunes|423577-512-512|aceite-de-girasol-primor-x-900-ml/p
00020|FLORENCIA|Aceite De Girasol 'florencia' x 1,5lt|153.0||||$ 153,00|Almacén > Aceites y Vinagres > Aceites Comunes|574414-512-512|aceite-de-girasol-florencia-x-1-5-litros-191791/p
00023|FLORENCIA|Aceite Florencia Girasol 900ml|95.0||||$ 95,00|Almacén > Aceites y Vinagres > Aceites Comunes|568050-512-512|aceite-florencia-girasol-900-ml/p
10726|PRIMOR|Aceite Girasol Primor 1,5lt|153.0||||$ 153,00|Almacén > Aceites y Vinagres > Aceites Comunes|574459-512-512|aceite-girasol-primor-1-5-l/p
10728|CLOVELLY|Aceite Clovelly Mezcla x 900cc|86.0||||$ 86,00|Almacén > Aceites y Vinagres > Aceites Comunes|609041-512-512|aceite-clovelly-mezcla-x900cc/p
11645|FAMILIAR|Aceite Familiar Mezcla Pet x 900cc|82.93||||$ 82,93|Almacén > Aceites y Vinagres > Aceites Comunes|598724-512-512|aceite-familiar-mezcla-pet-x900-cc/p
10727|Maxima MP|Aceite Mezcla Maxima 900ml|82.17||||$ 82,17|Almacén > Aceites y Vinagres > Aceites Comunes|590538-512-512|aceite-mezcla-maxima-900-ml/p
10729|MAMA COCINA|Aceite Mama Cocina Roc. Vg. Mant. Har. x 150gr|132.6||||$ 132,60|Almacén > Aceites y Vinagres > Aceites Comunes|534799-512-512|aceite-mama-cocina-roc-vg-mant-har-x150gr/p
00026|CLOVELLY|Aceite Clovelly Mezcla x 1,5lt|141.0||||$ 141,00|Almacén > Aceites y Vinagres > Aceites Comunes|607149-512-512|aceite-clovelly-mezcla-x1-5lt/p
10730|CUISINE & CO NBE MP|Aceite De Canola Cuisine & Co 500ml|334.15||||$ 334,15|Almacén > Aceites y Vinagres > Aceites Comunes|602287-512-512|aceite-de-canola-cuisine-co-500-ml/p
10731|KROL|Aceite De Canola y Oliva Krol Virgen 500ml|312.94||||$ 312,94|Almacén > Aceites y Vinagres > Aceites Comunes|205215-512-512|aceite-krol-de-canola-oliva/p
00030|DOS ANCLAS|Salsa De Soja Tradicional Dos Anclas 500ml|216.3||||$ 216,30|Almacén > Aderezos > Salsas Frías|414187-512-512|salsa-de-soja-tradicional-dos-anclas-500-ml/p
00033|DOS ANCLAS|Salsa Ali Oli Dos Anclas 360gr|169.38||||$ 169,38|Almacén > Aderezos > Salsas Frías|198082-512-512|salsa-dos-anclas-ali-oli-x360gr/p
11978|DOS ANCLAS|Salsa Cesar Dos Anclas 360gr|163.44||||$ 163,44|Almacén > Aderezos > Salsas Frías|198078-512-512|salsa-dos-anclas-light-x360gr/p
00032|LEE KUM KEE|Salsa De Soja Lee Kum Kee Clasica Premium 150cc|333.19||||$ 333,19|Almacén > Aderezos > Salsas Frías|584139-512-512|salsa-de-soja-lee-kum-kee-clasica-premium-150cc/p
10754|TABASCO|Salsa Picante Tabasco® Rojo Original 60ml|431.77||||$ 431,77|Almacén > Aderezos > Salsas Frías|584126-512-512|salsa-picante-tabasco-rojo-original-60-ml/p
00035|TABASCO|Salsa Picante Sriracha 256ml|749.0||||$ 749,00|Almacén > Aderezos > Salsas Frías|596963-512-512|salsa-picante-sriracha-256-ml/p
10767|TABASCO|Salsa Picante Tabasco® Pimientos y Ajo 60ml|431.77||||$ 431,77|Almacén > Aderezos > Salsas Frías|584145-512-512|salsa-picante-tabasco-pimientos-y-ajo-60-ml/p
10761|TABASCO|Salsa Picante Tabasco® Jalapeño Verde 60ml|431.77||||$ 431,77|Almacén > Aderezos > Salsas Frías|584144-512-512|salsa-picante-tabasco-jalapeno-verde-60-ml/p
10762|LA PARMESANA|Salsa Inglés La Parmesana 180gr|112.36||||$ 112,36|Almacén > Aderezos > Salsas Frías|190623-512-512|salsa-la-parmesana-x-180-ml-2/p
10763|LA PARMESANA|Salsa Picante La Parmesana 180gr|112.36||||$ 112,36|Almacén > Aderezos > Salsas Frías|524210-512-512|salsa-la-parmesana-x-180-ml/p
10765|LA PARMESANA|Salsa La Parmesana Jalapeño Verde Picante|112.36||||$ 112,36|Almacén > Aderezos > Salsas Frías|554102-512-512|salsa-la-parmesana-jalapeno-verde-picante/p
10759|TABASCO|Salsa Picante Tabasco® Chipotle 60ml|431.77||||$ 431,77|Almacén > Aderezos > Salsas Frías|584175-512-512|salsa-picante-tabasco-chipotle-60-ml/p
00042|LEE KUM KEE|Salsa De Soja Con Hongos Lee Kum Kee 500cc|398.74||||$ 398,74|Almacén > Aderezos > Salsas Frías|584168-512-512|salsa-de-soja-con-hongos-lee-kum-kee-500cc/p
10769|LA PARMESANA|Salsa La Parmesana-picante-amarilla-bot- cc .-180|112.36||||$ 112,36|Almacén > Aderezos > Salsas Frías|205144-512-512|salsa-la-parmesana-4/p
10803|SAVORA|Mostaza Savora Original 250gr|61.28||||$ 61,28|Almacén > Aderezos > Mostazas|605669-512-512|mostaza-savora-9/p
10805|SAVORA|Mostaza Savora Original 500gr|119.65||||$ 119,65|Almacén > Aderezos > Mostazas|521789-512-512|mostaza-savora-8/p
10806|HEINZ|Mostaza Heinz 368gr|184.8||||$ 184,80|Almacén > Aderezos > Mostazas|554969-512-512|mostaza-heinz-368-gr/p
10807|HEINZ|Mostaza Heinz 200gr|108.15||||$ 108,15|Almacén > Aderezos > Mostazas|554968-512-512|mostaza-heinz-200-gr/p
10810|BRENNAN´S|Aderezo Mostaza Crema Tradicional Brennan S 200gr|262.9||||$ 262,90|Almacén > Aderezos > Mostazas|180881-512-512|mostaza-crema-tradicional-brennan-s-x-200-gr/p
10811|ARYTZA|Aderezo Mostaza A La Miel 200gr|228.0||||$ 228,00|Almacén > Aderezos > Mostazas|186202-512-512|mostaza-a-la-miel-x-200-grs/p
10814|ARYTZA|Mostaza Aritza Sin Tacc x 200gr|213.0||||$ 213,00|Almacén > Aderezos > Mostazas|552161-512-512|mostaza-aritza-sin-tacc-x200gr/p
10815|ARYTZA|Mostaza Sin Sal Aritza Sin Tacc x 200gr|239.0||||$ 239,00|Almacén > Aderezos > Mostazas|552160-512-512|mostaza-sin-sal-aritza-sin-tacc-x200gr/p
00084|DOS ANCLAS|Salsa Mostaza Con Miel Dos Anclas 375gr|197.68||||$ 197,68|Almacén > Aderezos > Mostazas|206397-512-512|mostaza-con-miel-dos-anclas-x375gr/p
10813|BRENNAN´S|Aderezo Mostaza Crema A La Antigua Brennan S 200gr|262.9||||$ 262,90|Almacén > Aderezos > Mostazas|180880-512-512|mostaza-crema-a-la-antigua-brennan-s-x-200-gr/p
10820|SAVORA|Mostaza Savora Pimienta x 180gr|217.44||||$ 217,44|Almacén > Aderezos > Mostazas|605846-512-512|mostaza-savora-pimienta-x180gr/p
10816|TAU DELTA|Salsa Tau Delta Mostaza Dulce|175.83||||$ 175,83|Almacén > Aderezos > Mostazas|548348-512-512|salsa-tau-delta-mostaza-dulce/p
10808|HEINZ|Mostaza Heinz Yellow Mustard 396gr|302.5||||$ 302,50|Almacén > Aderezos > Mostazas|554967-512-512|mostaza-heinz-yellow-mustard-396-gr/p
10809|NATURA|Aderezo Mostaza Natural 500gr|83.23||||$ 83,23|Almacén > Aderezos > Mostazas|193361-512-512|mostaza-natura-2/p
10819|BRENNAN´S|Aderezo Mostaza Crema A La Pimienta Brennan S 200gr|262.9||||$ 262,90|Almacén > Aderezos > Mostazas|180878-512-512|mostaza-crema-a-la-pimienta-brennan-s-x-200-gr/p
10825|BRENNAN´S|Aderezo Mostaza Al Ají Brennan S 175gr|301.4||||$ 301,40|Almacén > Aderezos > Mostazas|176572-512-512|mostaza-brennan-al-aji/p
10823|BRENNAN´S|Aderezo Mostaza Ahumada Brennan S 200gr|301.4||||$ 301,40|Almacén > Aderezos > Mostazas|176581-512-512|mostaza-brennan-ahumada/p
10821|SAVORA|Mostaza Savora Hierbas x 180gr|217.44||||$ 217,44|Almacén > Aderezos > Mostazas|605844-512-512|mostaza-savora-hierbas-x180gr/p
10812|ARYTZA|Aderezo Mostaza Arytza Dijon 200gr|250.0||||$ 250,00|Almacén > Aderezos > Mostazas|186191-512-512|mostaza-marian-arytza-dijon-x-200grs/p
10824|BRENNAN´S|Aderezo Mostaza A La Cerveza Brennan S 200gr|301.4||||$ 301,40|Almacén > Aderezos > Mostazas|176574-512-512|mostaza-brennan-a-la-cerveza/p
10770|HELLMANN´S|Mayonesa Hellmanns Light Doypack 475gr|110.28||||$ 110,28|Almacén > Aderezos > Mayonesas|605447-512-512|mayonesa-hellmanns-light-doypack-475-gr/p
10772|HELLMANN´S|Mayonesa Hellmanns Clásica Doypack 475gr|89.22||||$ 89,22|Almacén > Aderezos > Mayonesas|605656-512-512|mayonesa-hellmanns-clasica-doypack-475-gr/p
10773|NATURA|Aderezo Mayonesa Natura 475gr|89.47||||$ 89,47|Almacén > Aderezos > Mayonesas|179489-512-512|mayonesa-natura/p
10774|HEINZ|Mayonesa Heinz 350gr|124.75||||$ 124,75|Almacén > Aderezos > Mayonesas|554975-512-512|mayonesa-heinz-350-gr/p
10775|HEINZ|Mayonesa Heinz 850gr|279.87||||$ 279,87|Almacén > Aderezos > Mayonesas|554974-512-512|mayonesa-heinz-850-gr/p
10776|NATURA|Aderezo Mayonesa Natura 950gr|178.95||||$ 178,95|Almacén > Aderezos > Mayonesas|205105-512-512|mayonesa-natura-2/p
00131|HELLMANN´S|Aderezo Mayonesa Hellmann's Light 950gr|236.17||||$ 236,17|Almacén > Aderezos > Mayonesas|605446-512-512|mayonesa-hellmann-s-light/p
10777|HEINZ|Mayonesa Heinz Light Doy-pack x 350gr|145.55||||$ 145,55|Almacén > Aderezos > Mayonesas|555032-512-512|mayonesa-heinz-light-doy-pack-x350gr/p
