nombre|precio|url_producto|url_imagen|rubro|id
AC. ARCOR MAIZ 900 cc|182.59||29-/9df78eab33525d08d6e5fb8d27136e95/1/9/197_8.jpg|Comestibles > Aceites > Aceite Maiz|00065
AC. CANUELAS MAIZ 1 lt|132.91||29-/9df78eab33525d08d6e5fb8d27136e95/2/0/20510_24.jpg|Comestibles > Aceites > Aceite Maiz|00070
A.B.MIE AXEL 250 gr|39.81||29-/9df78eab33525d08d6e5fb8d27136e95/2/2/22675.jpg|Comestibles > Dulces y Mermeladas > Miel|00058
A.B.MIE AXEL 500 gr|70.06||29-/9df78eab33525d08d6e5fb8d27136e95/2/2/22676.jpg|Comestibles > Dulces y Mermeladas > Miel|00059
A.B.MIE DECFA 250 gr|34.75||29-/9df78eab33525d08d6e5fb8d27136e95/1/6/16638_17.jpg|Comestibles > Dulces y Mermeladas > Miel|00060
A.B.MIE DECFA 500 gr|62.5||29-/9df78eab33525d08d6e5fb8d27136e95/1/6/16690_17.jpg|Comestibles > Dulces y Mermeladas > Miel|00061
MIEL ALELUYA LIQ.SQUEEZE 250 gr|115.72||29-/9df78eab33525d08d6e5fb8d27136e95/2/0/20125_24.jpg|Comestibles > Dulces y Mermeladas > Miel|03813
MIEL ALELUYA PASTEUR. 500 gr|181.32||29-/9df78eab33525d08d6e5fb8d27136e95/1/5/15361_19.jpg|Comestibles > Dulces y Mermeladas > Miel|03814
MIEL ALELUYA POTE 190 gr|87.8||29-/9df78eab33525d08d6e5fb8d27136e95/1/5/15362_18.jpg|Comestibles > Dulces y Mermeladas > Miel|03815
MIEL ALELUYA UNTABLE 300 gr|126.93||29-/9df78eab33525d08d6e5fb8d27136e95/2/2/22674_1.jpg|Comestibles > Dulces y Mermeladas > Miel|03816
DUL. ARCOR BAT.CH.LATA 5 kg|604.88||29-/9df78eab33525d08d6e5fb8d27136e95/2/4/2415.jpg|Comestibles > Dulces y Mermeladas > Dulces En Lata|01902
DUL. ARCOR BAT.LATA 5 kg|604.88||29-/9df78eab33525d08d6e5fb8d27136e95/2/4/2416_7.jpg|Comestibles > Dulces y Mermeladas > Dulces En Lata|01904
DUL. ARCOR MEMB.LATA 5 kg|774.28||29-/9df78eab33525d08d6e5fb8d27136e95/2/6/2603.jpg|Comestibles > Dulces y Mermeladas > Dulces En Lata|01907
DUL. DULCOR BAT.CER.LAT 5 kg|783.96||29-/9df78eab33525d08d6e5fb8d27136e95/1/5/15811_19.jpg|Comestibles > Dulces y Mermeladas > Dulces En Lata|01912
DUL. MAROLIO BAT.CH.LATA 5 kg|514.89||29-/9df78eab33525d08d6e5fb8d27136e95/1/9/19392_21.jpg|Comestibles > Dulces y Mermeladas > Dulces En Lata|01926
DUL. MAROLIO BAT.LATA 5 kg|514.89||29-/9df78eab33525d08d6e5fb8d27136e95/1/9/19391_21.jpg|Comestibles > Dulces y Mermeladas > Dulces En Lata|01928
DUL. NOEL BAT.CH.LATA 5 kg|498.4||29-/9df78eab33525d08d6e5fb8d27136e95/4/6/4669_10.jpg|Comestibles > Dulces y Mermeladas > Dulces En Lata|01933
DUL. NOEL BAT.LATA 5 kg|498.4||29-/9df78eab33525d08d6e5fb8d27136e95/4/6/4639_10.jpg|Comestibles > Dulces y Mermeladas > Dulces En Lata|01934
DUL. NOEL MEMB.LATA 5 kg|560.71||29-/9df78eab33525d08d6e5fb8d27136e95/4/6/4680_10.jpg|Comestibles > Dulces y Mermeladas > Dulces En Lata|01936
