id|nombre|precio|rubro|url_imagen|url_producto
00001|Cep.den Conciencia Infantiles|59.9|Perfumeria > Cuidado Bucal > Cepillos Dentales|8721ae71a8b276de5ff5b8923d829701/2/5/25881.jpg|607/s/cep-den-conciencia-infantiles-25881/category/52/
00002|Cep.den Conciencia Infan.recl|66.9|Perfumeria > Cuidado Bucal > Cepillos Dentales|8721ae71a8b276de5ff5b8923d829701/2/5/25880.jpg|608/s/cep-den-conciencia-infan-recl-25880/category/52/
00003|Cep.den Conciencia Adulto|55.9|Perfumeria > Cuidado Bucal > Cepillos Dentales|8721ae71a8b276de5ff5b8923d829701/2/5/25879.jpg|609/s/cep-den-conciencia-adulto-25879/category/52/
00004|Cep.den Conciencia Adul.rec|63.9|Perfumeria > Cuidado Bucal > Cepillos Dentales|8721ae71a8b276de5ff5b8923d829701/2/5/25878.jpg|610/s/cep-den-conciencia-adul-rec-25878/category/52/
00005|Cep.den Conciencia Kit Viaje|129.9|Perfumeria > Cuidado Bucal > Cepillos Dentales|8721ae71a8b276de5ff5b8923d829701/2/5/25877.jpg|611/s/cep-den-conciencia-kit-viaje-25877/category/52/
00006|Maquina Bic Soleil+dove|0|Perfumeria > Productos Para Afeitarse > Hojas Y Maquinas|8721ae71a8b276de5ff5b8923d829701/2/5/25996.jpg|497/s/maquina-bic-soleil-dove-25996/category/41/
00007|Maquina Bic Flex 3 Hyb|231.32|Perfumeria > Productos Para Afeitarse > Hojas Y Maquinas|8721ae71a8b276de5ff5b8923d829701/2/5/25902.jpg|586/s/maquina-bic-flex-3-hyb-25902/category/41/
00008|Maquina Prestobar Ultragrip 3|54.46|Perfumeria > Productos Para Afeitarse > Hojas Y Maquinas|8721ae71a8b276de5ff5b8923d829701/2/3/23441.jpg|2758/s/maquina-prestobar-ultragrip-3-23441/category/41/
00009|Maquina Venus Simply Cart|63.55|Perfumeria > Productos Para Afeitarse > Hojas Y Maquinas|8721ae71a8b276de5ff5b8923d829701/2/1/21335.jpg|3883/s/maquina-venus-simply-cart-21335/category/41/
00010|Maquina Venus Rosa 2un|161.9|Perfumeria > Productos Para Afeitarse > Hojas Y Maquinas|8721ae71a8b276de5ff5b8923d829701/2/0/20637.jpg|4273/s/maquina-venus-rosa-2-un-20637/category/41/
00011|Hisopos Estrella Estuche 100un|57.81|Perfumeria > Higiene Personal > Hisopos|8721ae71a8b276de5ff5b8923d829701/2/6/26232.jpg|294/s/hisopos-estrella-estuche-100-un-26232/category/85/
00012|Hisopos Estrella Bolsa 125un|51.98|Perfumeria > Higiene Personal > Hisopos|8721ae71a8b276de5ff5b8923d829701/2/6/26045.jpg|448/s/hisopos-estrella-bolsa-125-un-26045/category/85/
00013|Hisopos Q-soft Pote 175un|87.52|Perfumeria > Higiene Personal > Hisopos|8721ae71a8b276de5ff5b8923d829701/1/3/13866.jpg|6744/s/hisopos-q-soft-pote-175-un-13866/category/85/
00014|Hisopos Q-soft Pote 125un|66.03|Perfumeria > Higiene Personal > Hisopos|8721ae71a8b276de5ff5b8923d829701/1/2/12220.jpg|7175/s/hisopos-q-soft-pote-125-un-12220/category/85/
00015|Hisopos Q-soft Estuche 100un|51.65|Perfumeria > Higiene Personal > Hisopos|8721ae71a8b276de5ff5b8923d829701/9/5/952.jpg|9427/s/hisopos-q-soft-estuche-100-un-952/category/85/
00016|T.humed J.y J. Cabeza-pies 44un|0|Perfumeria > Higiene Personal > Toallitas Humedas|8721ae71a8b276de5ff5b8923d829701/2/6/26066.jpg|430/s/t-humed-j-y-j-cabeza-pies-44-un-26066/category/89/
00017|T.humed J.y J. Baby Lim&su 44un|74.9|Perfumeria > Higiene Personal > Toallitas Humedas|8721ae71a8b276de5ff5b8923d829701/2/5/25500.jpg|963/s/t-humed-j-y-j-baby-lim-su-44-un-25500/category/89/
00018|Algodon Estrella Premium 150gr|94.96|Perfumeria > Higiene Personal > Algodones|8721ae71a8b276de5ff5b8923d829701/1/9/19521.jpg|4728/s/algodon-estrella-premium-150-gr-19521/category/218/
00019|Algodon Estrella Premium 75gr|47.85|Perfumeria > Higiene Personal > Algodones|8721ae71a8b276de5ff5b8923d829701/1/9/19520.jpg|4729/s/algodon-estrella-premium-75-gr-19520/category/218/
00020|Algodon Estrella Super 400gr|185.04|Perfumeria > Higiene Personal > Algodones|8721ae71a8b276de5ff5b8923d829701/1/5/15220.jpg|6377/s/algodon-estrella-super-400-gr-15220/category/218/
00021|Algodon Estrella Super 200gr|95.79|Perfumeria > Higiene Personal > Algodones|8721ae71a8b276de5ff5b8923d829701/1/9/1969.jpg|9111/s/algodon-estrella-super-200-gr-1969/category/218/
00022|Aposito Curita 20un|43.72|Perfumeria > Higiene Personal > Apositos|8721ae71a8b276de5ff5b8923d829701/2/2/22167.jpg|3410/s/aposito-curita-20-un-22167/category/223/
00023|Aposito Curita Surtidas 20un|0|Perfumeria > Higiene Personal > Apositos|8721ae71a8b276de5ff5b8923d829701/2/0/20546.jpg|4315/s/aposito-curita-surtidas-20-un-20546/category/223/
00024|Aposito Curita Star War 20un|89.17|Perfumeria > Higiene Personal > Apositos|8721ae71a8b276de5ff5b8923d829701/2/0/20545.jpg|4316/s/aposito-curita-star-war-20-un-20545/category/223/
00025|Aposito Curita 8un|23.06|Perfumeria > Higiene Personal > Apositos|8721ae71a8b276de5ff5b8923d829701/3/6/3600.jpg|8678/s/aposito-curita-8-un-3600/category/223/
