id|marca|nombre|precio|precio_1|precio_2|precio_3|precio_unitario|rubro|url_imagen|url_producto
00824||GUANTES TASK MEDIANO|0|||||Limpieza > Cocina > Guantes|8721ae71a8b276de5ff5b8923d829701/1/4/14787.jpg|6491/s/guantes-task-mediano-14787/category/256/
00825||GUANTES MAPA CONTACTO MEDIANO|114.69||||$114,69|Limpieza > Cocina > Guantes|8721ae71a8b276de5ff5b8923d829701/1/5/15198.jpg|6380/s/guantes-mapa-contacto-mediano-15198/category/256/
00826||GUANTES MAPA CONTACTO GRANDE|0|||||Limpieza > Cocina > Guantes|8721ae71a8b276de5ff5b8923d829701/1/5/15199.jpg|6379/s/guantes-mapa-contacto-grande-15199/category/256/
00827||GUANTES TASK MEDIANO CLASICO|0|||||Limpieza > Cocina > Guantes|8721ae71a8b276de5ff5b8923d829701/2/0/20090.jpg|4538/s/guantes-task-mediano-clasico-20090/category/256/
00828||GUANTES TASK GRANDE ECONOMICO|0|||||Limpieza > Cocina > Guantes|8721ae71a8b276de5ff5b8923d829701/2/0/20305.jpg|4418/s/guantes-task-grande-economico-20305/category/256/
00829||GUANTES VILEDA EST ANDAR CHICO|0|||||Limpieza > Cocina > Guantes|8721ae71a8b276de5ff5b8923d829701/2/0/20590.jpg|4289/s/guantes-vileda-est-andar-chico-20590/category/256/
00830||GUANTES VILEDA EST ANDAR GRANDE|0|||||Limpieza > Cocina > Guantes|8721ae71a8b276de5ff5b8923d829701/2/0/20591.jpg|4288/s/guantes-vileda-est-andar-grande-20591/category/256/
00831||GUANTES MAPA AFELPADO GRANDE|0|||||Limpieza > Cocina > Guantes|8721ae71a8b276de5ff5b8923d829701/4/3/43188.jpg|175/s/guantes-mapa-afelpado-grande-43188/category/256/
00832||GUANTES MAPA AFELPADO EXTRA GRANDE|0|||||Limpieza > Cocina > Guantes|8721ae71a8b276de5ff5b8923d829701/4/3/43189.jpg|174/s/guantes-mapa-afelpado-extra-grande-43189/category/256/
00833||GUANTES MAPA AFELPADO PEQUEÑO|0|||||Limpieza > Cocina > Guantes|8721ae71a8b276de5ff5b8923d829701/4/3/43190.jpg|173/s/guantes-mapa-afelpado-peque-o-43190/category/256/
00834||GUANTES MAPA AFELPADO MEDIANO|0|||||Limpieza > Cocina > Guantes|8721ae71a8b276de5ff5b8923d829701/4/3/43349.jpg|159/s/guantes-mapa-afelpado-mediano-43349/category/256/
00835||GUANTES VILEDA EST ANDAR MEDIANO|0|||||Limpieza > Cocina > Guantes|8721ae71a8b276de5ff5b8923d829701/5/0/50547.jpg|60/s/guantes-vileda-est-andar-mediano-50547/category/256/
00848||ROLLO PRO MANTECA 5 MT|0|||||Limpieza > Cocina > Papel Envoltura E Hilos|8721ae71a8b276de5ff5b8923d829701/1/2/12653.jpg|7058/s/rollo-pro-manteca-5-mt-12653/category/258/
00849||ROLLO PRO ALUMINIO 5 MT|97.09||||$97,09|Limpieza > Cocina > Papel Envoltura E Hilos|8721ae71a8b276de5ff5b8923d829701/1/2/12654.jpg|7057/s/rollo-pro-aluminio-5-mt-12654/category/258/
00850||ROLLO PRO ALUMINIO 10 MT|0|||||Limpieza > Cocina > Papel Envoltura E Hilos|8721ae71a8b276de5ff5b8923d829701/1/2/12655.jpg|7056/s/rollo-pro-aluminio-10-mt-12655/category/258/
00851||ROLLO PRO FILM 50M 30 CC|126.72||||$126,72|Limpieza > Cocina > Papel Envoltura E Hilos|8721ae71a8b276de5ff5b8923d829701/1/3/13729.jpg|6782/s/rollo-pro-film-50m-30-cc-13729/category/258/
00852||ROLLO PRO FILM 100M 38 CC|267.41||||$267,41|Limpieza > Cocina > Papel Envoltura E Hilos|8721ae71a8b276de5ff5b8923d829701/1/4/14106.jpg|6694/s/rollo-pro-film-100m-38-cc-14106/category/258/
00853||ROLLO ESENCIAL FILM ADHERENTE 20 MT|0|||||Limpieza > Cocina > Papel Envoltura E Hilos|8721ae71a8b276de5ff5b8923d829701/1/8/18202.jpg|5302/s/rollo-esencial-film-adherente-20-mt-18202/category/258/
00854||ROLLO ESENCIAL FILM ADHERENTE 10 MT|0|||||Limpieza > Cocina > Papel Envoltura E Hilos|8721ae71a8b276de5ff5b8923d829701/1/8/18203.jpg|5301/s/rollo-esencial-film-adherente-10-mt-18203/category/258/
00855||ROLLO ESENCIAL ALUMINIO 5 MT|0|||||Limpieza > Cocina > Papel Envoltura E Hilos|8721ae71a8b276de5ff5b8923d829701/1/8/18204.jpg|5300/s/rollo-esencial-aluminio-5-mt-18204/category/258/
00856||BOLSA BAN PLASTICO HORNO 10 UN|142.45||||$142,45|Limpieza > Cocina > Papel Envoltura E Hilos|8721ae71a8b276de5ff5b8923d829701/2/0/20542.jpg|4317/s/bolsa-ban-plastico-horno-10-un-20542/category/258/
00857||COMBO SUPER PROMOCION FILM + ALUMINIO|0|||||Limpieza > Cocina > Papel Envoltura E Hilos|8721ae71a8b276de5ff5b8923d829701/2/0/20807.jpg|4192/s/combo-super-promocion-film-aluminio-20807/category/258/
00858||BOLSA BAN PLASTICO VEGETALES 10 UN|0|||||Limpieza > Cocina > Papel Envoltura E Hilos|8721ae71a8b276de5ff5b8923d829701/2/0/20938.jpg|4138/s/bolsa-ban-plastico-vegetales-10-un-20938/category/258/
00859||BOLSA B.P. PREMIUN FREEZER 20 UN|0|||||Limpieza > Cocina > Papel Envoltura E Hilos|8721ae71a8b276de5ff5b8923d829701/2/1/21210.jpg|3975/s/bolsa-b-p-premiun-freezer-20-un-21210/category/258/
00863||CANASTA VIM CITRUS PODDER X5 55 GR|0|||||Limpieza > Baño > Desodorantes de Inodoro|8721ae71a8b276de5ff5b8923d829701/2/3/23856.jpg|2442/s/canasta-vim-citrus-podder-x5-55-gr-23856/category/248/
00864||DESODORANTE PARA INODOROS VIM ADHESIVO CITRUS 30 GR|0|||||Limpieza > Baño > Desodorantes de Inodoro|8721ae71a8b276de5ff5b8923d829701/2/3/23857.jpg|2441/s/desodorante-para-inodoros-vim-adhesivo-citrus-30-gr-23857/category/248/
00865||DESODORANTE PARA INODOROS VIM ADHESIVO OCEANO 30 GR|0|||||Limpieza > Baño > Desodorantes de Inodoro|8721ae71a8b276de5ff5b8923d829701/2/3/23858.jpg|2440/s/desodorante-para-inodoros-vim-adhesivo-oceano-30-gr-23858/category/248/
00866||DESODORANTE PARA INODOROS HARPIC LAVANDA 27 GR|51.74||||$51,74|Limpieza > Baño > Desodorantes de Inodoro|8721ae71a8b276de5ff5b8923d829701/2/4/24731.jpg|1665/s/desodorante-para-inodoros-harpic-lavanda-27-gr-24731/category/248/
00867||DESODORANTE PARA INODOROS HARPIC ADHESIVO POWER PLUS 27 GR|51.74||||$51,74|Limpieza > Baño > Desodorantes de Inodoro|8721ae71a8b276de5ff5b8923d829701/2/4/24732.jpg|1664/s/desodorante-para-inodoros-harpic-adhesivo-power-plus-27-gr-24732/category/248/
00868||DESODORANTE PARA INODOROS ESENCIAL PINO 25 GR|0|||||Limpieza > Baño > Desodorantes de Inodoro|8721ae71a8b276de5ff5b8923d829701/2/4/24982.jpg|1427/s/desodorante-para-inodoros-esencial-pino-25-gr-24982/category/248/
00869||DESODORANTE PARA INODOROS ESENCIAL FLORAL 25 GR|0|||||Limpieza > Baño > Desodorantes de Inodoro|8721ae71a8b276de5ff5b8923d829701/2/4/24983.jpg|1426/s/desodorante-para-inodoros-esencial-floral-25-gr-24983/category/248/
