nombre,marca,precio,link,imagen,departamento,categoria,subcategoria
Aceite Cañuelas De Girasol - 1.5 L,CAÑUELAS,"$ 136,00",aceite-canuelas-de-girasol-1-5-l,427642,Almacén,Aceites y Vinagres,-
Vinagre De Alcohol Menoyo 500 Ml,MENOYO,"$ 55,90",vinagre-menoyo-de-alcohol,584808,Almacén,Aceites y Vinagres,-
Aceite De Girasol Natura 3 L.,NATURA,"$ 290,00",aceite-de-girasol-natura-3-l,427745,Almacén,Aceites y Vinagres,-
Aceite De Girasol Natura 1.5 L,NATURA,"$ 147,00",aceite-de-girasol-natura-1-5-l,427751,Almacén,Aceites y Vinagres,-
Aceite De Girasol Natura 900 Ml,NATURA,"$ 91,00",aceite-natura-de-girasol-x-900-cc,190195,Almacén,Aceites y Vinagres,-
Aceite De Girasol Cocinero 1.5 L,COCINERO,"$ 136,00",aceite-de-girasol-cocinero-1-5-l,468653,Almacén,Aceites y Vinagres,-
Aceite Ideal Girasol 1.5 Ml,IDEAL,"$ 121,00",aceite-ideal-girasol-1-5-ml,535455,Almacén,Aceites y Vinagres,-
Aceite Natura De Oliva,NATURA,"$ 310,00",aceite-natura-de-oliva-3,495720,Almacén,Aceites y Vinagres,-
Aceite De Oliva Natura Virgen 120 Ml,NATURA,"$ 126,00",aceite-natura-de-oliva-2,209763,Almacén,Aceites y Vinagres,-
Aceite De Girasol Cada Día 1.5 Lt,CADA DIA,"$ 121,00",aceite-de-girasol-cada-dia-1-5-lt,182008,Almacén,Aceites y Vinagres,-
Aceite De Oliva Oliovita Extra Virgen Clásico 500 Ml,OLIOVITA,"$ 397,60",aceite-oliovita-de-oliva-x-500-cc-2,568751,Almacén,Aceites y Vinagres,-
Jugo De Limón Minerva 500 Ml,MINERVA,"$ 120,00",jugo-minerva-de-limon-ecobotella-x500,468266,Almacén,Aceites y Vinagres,-
Aceite De Oliva Oliovita Clásico 500 Ml,OLIOVITA,"$ 347,20",aceite-de-oliva-oliovita-x500cc,568769,Almacén,Aceites y Vinagres,-
Vinagre Manzana Alcazar 1000 Ml,ALCAZAR,"$ 72,00",vinagre-manzana-alcazar-1000-ml,578501,Almacén,Aceites y Vinagres,-
