id|marca|nombre|precio|precio_1|precio_2|precio_3|precio_unitario|rubro|url_imagen|url_producto
""||Stevia Hileret x 200 bot|170.0|3,138.01||||Almacén > Edulcorantes|2020/01/STEVIA-HILERET-X-200-BOT.jpg|stevia-hileret-x-200-bot/
""||Ketchup Danica 50|21.0|3,18.20||||Aderezos > Ketchup|2020/01/KETCHUP-DANICA-50.jpg|ketchup-danica-50/
""||Ketchup Danica 220gr|63.5|3,54.91||||Aderezos > Ketchup|2020/01/KETCHUP-DANICA-220GR.jpg|ketchup-danica-220gr/
""||Salsa Golf Benidorm 500ml|155.0|3,134.06||||Aderezos > Salsa Golf|2020/10/benidorm-salsagolf.jpg|salsa-golf-benidorm-500-ml/
""||Salsa Golf Danica 220ml|53.0|3,45.35||||Aderezos > Salsa Golf|2019/11/SALSA-GOLF-DANICA-220ML.jpg|salsa-golf-danica-220ml/
""||Azucar Light Lheritier 350gr|72.0|3,61.11||||Almacén > Azúcar|2020/10/azucar-light-lheritier.jpg|azucar-light-lheritier-350-gr/
""||Azucar 1kg|58.0|3,49.40|10,44.50|||Almacén > Azúcar|2019/11/azucar-comun-1kg-fraccionada.jpg|azucar-1kg-s-iva/
""||Mostaza Savora 1kg|219.99|3,189.65||||Aderezos > Mostazas|2020/01/MOSTAZA-SAVORA-1KG.jpg|mostaza-savora-1kg/
""||Mostaza Savora 3kg|438.0|3,436.99||||Aderezos > Mostazas|2020/01/MOSTAZA-SAVORA-3KG.jpg|mostaza-savora-3kg/
""||Mostaza Savora Original x 250gr|81.0|3,70.20||||Aderezos > Mostazas|2020/01/MOSTAZA-SAVORA-ORIGINAL-X250G.jpg|mostaza-savora-original-x250g/
""||Mostaza Danica 220gr|51.5|3,44.42||||Aderezos > Mostazas|2020/01/MOSTAZA-DANICA-250GR.jpg|mostaza-danica-220gr/
""||Mostaza Danica 60gr|15.0|3,12.91||||Aderezos > Mostazas|2020/01/MOSTAZA-DANICA-60GR.jpg|mostaza-danica-60gr/
""||Arroz Gallo Largo Fino 500gr|69.0|3,59.85||||Almacén > Arroz|2020/07/arroz-gallo-largo-fino-500.jpg|arroz-gallo-largo-fino-500-grs/
""||Arroz Dos Hermanos lt . Fino x 500gr|57.0|3,49.35||||Almacén > Arroz|2020/07/arroz-dos-hermanos-Lfino-500.jpg|arroz-dos-hermanos-l-fino-x-500-grs/
""||Arroz Gallo Oro 1kg|136.0|3,117.88||||Almacén > Arroz|2020/01/ARROZ-GALLO-ORO-B1-KG.jpg|arroz-gallo-oro-b1-kg-s-iva/
""||Arroz Gallo Oro Amarillo 500gr|81.0|3,70.32||||Almacén > Arroz|2020/01/ARROZ-GALLO-ORO-AMA-500GR.jpg|arroz-gallo-oro-ama-500gr/
""||Polenta Prestopronta Arcor 500gr|69.9|3,64.53||||Almacén > Polentas|2020/01/PRESTOPRONTA-ARCOR-500GR.jpg|prestopronta-arcor-500grs-iv/
""||Mayonesa Natura 125gr|32.0|3,27.85||||Aderezos > Mayonesas|2020/06/mayonesa-natura-125gr.jpg|mayonesa-natura-125-grs/
