nombre|precio|imagen|rubro|id
Galletas de Arroz All Rice Naranja x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-naranja.jpg|Sin categorizar|0001
Galletas de Arroz All Rice Dulces x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-dulce.jpg|Sin categorizar|0002
Morrones Cumana Enteros x 185 grs.|81.0|http://tatito.com.ar/wp-content/uploads/2020/05/pimientos-cumana-185g.jpg|Sin categorizar|0003
Caballa Cumana Natural 380 grs.|135.0|http://tatito.com.ar/wp-content/uploads/2020/05/caballa-cumana-380.jpg|Sin categorizar|0004
Coctel de Frutas Copa de Oro x 820 grs.|110.0|http://tatito.com.ar/wp-content/uploads/2020/05/durazno-copa-de-oro-820g.jpg|Sin categorizar|0005
Duraznos Copa de Oro  x 820 grs.|94.0|http://tatito.com.ar/wp-content/uploads/2020/05/durazno-copa-de-oro1-820g.jpg|Sin categorizar|0006
Galletas de Arroz All Rice Sin Sal x 100 grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-sin-sal.jpg|Sin categorizar|0007
Duraznos Cumana x 800 grs.|112.0|http://tatito.com.ar/wp-content/uploads/2020/05/durazno-cumana-820.jpg|Sin categorizar|0008
Duraznos Light Cumana x 800 grs.|112.0|http://tatito.com.ar/wp-content/uploads/2020/05/durazno-light-cumanan-800g.jpg|Sin categorizar|0009
Jabon Ariel Liquido Doypack x 400 ml|69.9|http://tatito.com.ar/wp-content/uploads/2020/05/jabon-ariel-400-ml.jpg|Sin categorizar|0010
Jabon Ace Liquido Doypack x 800 ml|112.0|http://tatito.com.ar/wp-content/uploads/2020/05/jabon-ace-doypack-800.jpg|Sin categorizar|0011
Jabon Ace Liquido Doypack x 400 ml|68.0|http://tatito.com.ar/wp-content/uploads/2020/05/jabon-ace-doypack-400.jpg|Sin categorizar|0012
Fideos Spaghetti Terrabusi x 500 grs|56.0|http://tatito.com.ar/wp-content/uploads/2020/04/spaghetti-terrabusi-500.jpg|Sin categorizar|0013
Shampoo Sedal Crema Balance Sachet Caja 24 x10 Grs.|179.99|http://tatito.com.ar/wp-content/uploads/2020/05/shampoo-sedal-crema-balance.jpg|Acondicionador y Jabones|0014
Shampoo Sedal Restauracion Instantanea Sachet Caja 24 x10 Grs.|179.99|http://tatito.com.ar/wp-content/uploads/2019/11/shampoo-sedal-restauracion-instantanea.jpg|Acondicionador y Jabones|0015
Jabon Argentino Tocador 3 x 80 Grs.|56.0|http://tatito.com.ar/wp-content/uploads/2019/11/JABON-ARGENTINO-TOC-3-80GR.jpg|Acondicionador y Jabones|0016
SHAMPOO SUAVE 930ML|105.0|http://tatito.com.ar/wp-content/uploads/2019/11/SHAMP-SUAVE-930ML.jpg|Acondicionador y Jabones|0017
JABON LUX 125GR|43.5|http://tatito.com.ar/wp-content/uploads/2019/11/JABON-LUX-125.jpg|Acondicionador y Jabones|0018
Acondicionador Suave Aloe Vera y Pepino 930 Ml.|105.0|http://tatito.com.ar/wp-content/uploads/2019/11/acondicionador-suave-aloe-y-pepino-930.jpg|Acondicionador y Jabones|0019
JABON DRIVE 400GR|55.0|http://tatito.com.ar/wp-content/uploads/2019/11/JABON-DRIVE-400GR.jpg|Acondicionador y Jabones|0020
Mayonesa Natura 125 grs.|26.5|http://tatito.com.ar/wp-content/uploads/2020/06/mayonesa-natura-125.jpg|Aderezos|0021
Mayonesa Natura 250 grs.|51.99|http://tatito.com.ar/wp-content/uploads/2020/06/mayonesa-natura-250.jpg|Aderezos|0022
MAYONESA HELLMANNS 475GR|85.0|http://tatito.com.ar/wp-content/uploads/2019/11/MAYONESA-HELLMANNS-475GR.jpg|Aderezos|0023
MOSTAZA DANICA 3KG|245.0|http://tatito.com.ar/wp-content/uploads/2020/01/MOSTAZA-DANICA-3KG.jpg|Aderezos|0024
MAYONESA FANACOA  2755KG|245.0|http://tatito.com.ar/wp-content/uploads/2020/01/MAYONESA-FANACOA-2755KG.jpg|Aderezos|0025
MAYONESA DANICA FIESTA 1KG|120.0|http://tatito.com.ar/wp-content/uploads/2019/11/mayonesa-danica-fiesta-1kg.jpg|Aderezos|0026
MAYONESA HELLMANNS 950KG|190.0|http://tatito.com.ar/wp-content/uploads/2020/01/MAYONESA-HELLMANNS-950KG.jpg|Aderezos|0027
MAYONESA HELLMANNS 2755GR|390.0|http://tatito.com.ar/wp-content/uploads/2020/01/MAYONESA-HELLMANNS-2755GR.jpg|Aderezos|0028
MAYONESA DANICA F X 500GR|65.0|http://tatito.com.ar/wp-content/uploads/2019/11/MAYONESA-DANICA-F-X-500GR.jpg|Aderezos|0029
MOSTAZA SAVORA ORIGINAL X250G|80.0|http://tatito.com.ar/wp-content/uploads/2020/01/MOSTAZA-SAVORA-ORIGINAL-X250G.jpg|Aderezos|0030
MOSTAZA DANICA 220GR|45.0|http://tatito.com.ar/wp-content/uploads/2020/01/MOSTAZA-DANICA-250GR.jpg|Aderezos|0031
KETCHUP DANICA 220GR|49.9|http://tatito.com.ar/wp-content/uploads/2020/01/KETCHUP-DANICA-220GR.jpg|Aderezos|0032
MAYONESA DANICA F 100GR|12.5|http://tatito.com.ar/wp-content/uploads/2020/01/MAYONESA-DANICA-F-100GR.jpg|Aderezos|0033
MAYONESA DANICA F 220GR|33.5|http://tatito.com.ar/wp-content/uploads/2019/11/Mayonesa-Dani-Fiesta-24x250cm3-.jpg|Aderezos|0034
