id|marca|nombre|precio|precio_1|precio_2|precio_3|precio_unitario|rubro|url_imagen|url_producto
""||Aceto Marolio Balsámico 250ml|90.87|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/mc234231-559b6307ede3bf815016013991684584-480-0.png|productos/aceto-marolio-balsamico-250-ml/
""||Aceto Molto Balsámico 500ml|129.0|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/230951-36b6c8d0f87f19955615992495363204-480-0.jpg|productos/aceto-molto-balsamico-500-ml/
""||Aceite Natura Girasol 1,5lt|276.5|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/1241-124ae2fb728b35be9415988859531149-480-0.jpg|productos/ac-natura-girasol-pvc-1-5-lt/
""||Vinagre Marolio Blanco Pvc 1lt|75.3|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/48311-a7bb180ea9b89df8ec15992514423747-480-0.jpg|productos/vinagre-marolio-blanco-pvc-1-lt/
""||Aceite Cañuelas Oliva Intenso 500cc|349.9|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/220311-58116916046af9b3e315988111926122-480-0.jpg|productos/ac-canuelas-oliv-in-pet-500-cc/
""||Vinagre Marolio De Alcohol 500cc|50.9|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/48301-9ce6838aba11903b8515992485669577-480-0.jpg|productos/vinagre-marolio-de-alcohol-500-cc/
""||Aceite Natura Aerosol 120cc|199.0|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/1871-8683f744226524a40215988124512148-480-0.jpg|productos/ac-natura-aero-120-cc/
""||Aceite Natura Girasol 900cc|220.0|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/1191-f6aa9d972584f0479415988133893757-480-0.jpg|productos/ac-natura-girasol-900-cc/
""||Aceite Cocinero Girasol 1,5lt|265.0|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/aceite-girasol-cocinero-1-5-l1-70562c7e06c6ba7e9b16057061476408-480-0.jpg|productos/ac-cocinero-girasol-1-5-lt/
""||Aceto Molto Balsámico 250ml|103.86|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/230941-45857a2ee223fca17815992494834835-480-0.jpg|productos/aceto-molto-balsamico-250-ml/
""||Vinagre Marolio Vino 500cc|57.07|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/48431-b8e267997c40b2be6115992489487199-480-0.jpg|productos/vinagre-marolio-vino-500-cc/
""||Aceite Cañuelas Oliva Suave 500cc|349.9|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/220301-333f3a18318b80229215988119589449-480-0.jpg|productos/ac-canuelas-oliv-su-pet-500-cc/
""||Atún Gomes Da Costa Natural Trozo 170gr|199.0|||||Productos > Conservas|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/140121-59ead476c816119f8515988319503556-480-0.jpg|productos/atun-g-d-costa-nat-trozo-170-gr/
""||Arvejas Molto Recart. 340gr|40.94|||||Productos > Conservas|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/216381-5d9ae1d72c20e1d76715989652695507-480-0.jpg|productos/arvejas-molto-recart-340-gr/
""||Atún La Campagnola Aceite 170gr|240.85|||||Productos > Conservas|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/2971-a72eaaaa94de931ff515988320272044-480-0.jpg|productos/atun-campagn-ac-170-gr/
""||Atún La Campagnola Natural 170gr|282.98|||||Productos > Conservas|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/2941-58de7f0208bbedfa1215988322147360-480-0.jpg|productos/atun-campagn-nat-170-gr/
""||Choclo La Campagnola Grano Amarillo 300- 240gr|110.0|||||Productos > Conservas|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/7311-c8cd808e2521d90f6d15989667037452-480-0.jpg|productos/choclo-campagn-gr-amar300-240-gr/
""||Atún La Campagnola Natural 300gr|493.88|||||Productos > Conservas|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/2891-990dcc78d8301dc16215988871111638-480-0.jpg|productos/atun-campagn-nat-300-gr/
""||Palmito Marolio Entero 400gr|168.88|||||Productos > Conservas|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/119641-4e51a297be1292e27315992491418710-480-0.jpg|productos/palmito-marolio-entero-400-gr/
""||Atún Gomes Da Costa Aceite Desmenuzado 170gr|199.0|||||Productos > Conservas|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/239071-a74ef0e2348184395b16006148914465-480-0.jpg|productos/atun-g-d-costa-ac-desm-170-gr/
