id|nombre|precio|rubro|url_imagen|url_producto
00640|Azúcar Chango 1kg|61.1|Almacén > Azúcar y Edulcorantes|2691-c35131e65a120add2515988328157594-480-0.jpg|azucar-chango-1-kg/
00641|Edulcorante Hileret Stevia 100 Sobres|226.4|Almacén > Azúcar y Edulcorantes|231221-f1cc34e857a8524f9015988858114712-480-0.jpg|edulc-hileret-stevia-100-so/
00642|Azúcar Rio Grande 1kg|56.0|Almacén > Azúcar y Edulcorantes|255761-23a4d6ca76cc35b0dc15990697189534-480-0.jpg|azucar-rio-grande-1-kg/
00643|Edulcorante Si Diet 500ml|132.1|Almacén > Azúcar y Edulcorantes|22561-52f34550c05fa972e515988885695640-480-0.jpg|edulcorante-si-diet-500-ml/
00644|Azúcar Ledesma 1kg|62.6|Almacén > Azúcar y Edulcorantes|2631-9bf28d750e13433f9a15988329984523-480-0.jpg|azucar-ledesma-1-kg/
00645|Edulcorante Hileret Stevia 200cc|193.5|Almacén > Azúcar y Edulcorantes|231231-bb0dd7c47d5b437f5415988884968455-480-0.jpg|edulc-hileret-stevia-200-cc/
00646|Edulcorante Hileret 1a10 Liq. 500cc|147.8|Almacén > Azúcar y Edulcorantes|441591-fce7ee6d3c2539062b15990703089137-480-0.jpg|edulc-hileret-1a10-liq-500-cc/
00647|Edulcorante Hileret 1 A 10 50 Sobres|72.3|Almacén > Azúcar y Edulcorantes|27521-5fd5c25a80fd4a84b715990735538539-480-0.jpg|edulc-hileret-1-a-10-50-so/
00648|Azúcar Chango Organica 1kg|157.2|Almacén > Azúcar y Edulcorantes|240791-d6de2568191d21ca1015990692101572-480-0.jpg|azucar-chango-organica-1-kg/
00649|Edulcorante Sucaryl Polvo 100 Sobres|99.0|Almacén > Azúcar y Edulcorantes|159911-2e8ab5c0c61d77dbd615990676195191-480-0.jpg|edulc-sucaryl-pvo-100-so/
00650|Azucar Hileret Light 500gr|123.0|Almacén > Azúcar y Edulcorantes|430971-f19b9e89a22390eeb416037392104758-480-0.jpg|azucar-hileret-light-500-gr/
00651|Azúcar Independencia x kg|49.0|Almacén > Azúcar y Edulcorantes|azucar-independecia-1kg-pagina1-771dfc725061e4bf9b15967398636528-480-01-29edfae32711a487f416031960452815-480-0.png|azucar-independencia-x-kg/
00652|Aceite Cocinero Girasol 900cc|124.1|Almacén > Aceites y Vinagres|3001-080de979d923e98d4615990022278095-480-0.jpg|ac-cocinero-girasol-900-cc/
00653|Aceite Natura Girasol 1,5lt|199.0|Almacén > Aceites y Vinagres|1241-124ae2fb728b35be9415988859531149-480-0.jpg|ac-natura-girasol-pvc-1-5-lt/
00654|Vinagre Marolio Blanco Pvc 1lt|69.9|Almacén > Aceites y Vinagres|48311-a7bb180ea9b89df8ec15992514423747-480-0.jpg|vinagre-marolio-blanco-pvc-1-lt/
00655|Aceite Cañuelas Oliva Intenso 500cc|335.0|Almacén > Aceites y Vinagres|220311-58116916046af9b3e315988111926122-480-0.jpg|ac-canuelas-oliv-in-pet-500-cc/
00656|Aceite Cañuelas Girasol 1,5lt|201.0|Almacén > Aceites y Vinagres|2191-ed56f8b77cf21a55c515988094192453-480-0.jpg|ac-canuelas-girasol-1-5-lt/
00657|Aceite Natura Aerosol 120cc|146.2|Almacén > Aceites y Vinagres|1871-8683f744226524a40215988124512148-480-0.jpg|ac-natura-aero-120-cc/
00658|Aceto Marolio Balsámico 250ml|72.0|Almacén > Aceites y Vinagres|mc234231-559b6307ede3bf815016013991684584-480-0.png|aceto-marolio-balsamico-250-ml/
