nombre|precio|url_producto|url_imagen|rubro|id
Aceite Cocinero Girasol 900 Cc|124.1|ac-cocinero-girasol-900-cc/|3001-080de979d923e98d4615990022278095-480-0.jpg|Almacén > Aceites y Vinagres|00013
Aceite Natura Girasol 1,5 Lt|199.0|ac-natura-girasol-pvc-1-5-lt/|1241-124ae2fb728b35be9415988859531149-480-0.jpg|Almacén > Aceites y Vinagres|00014
Vinagre Marolio Blanco PVC 1 Lt|69.9|vinagre-marolio-blanco-pvc-1-lt/|48311-a7bb180ea9b89df8ec15992514423747-480-0.jpg|Almacén > Aceites y Vinagres|00015
Aceite Cañuelas Oliva Intenso 500 Cc|335.0|ac-canuelas-oliv-in-pet-500-cc/|220311-58116916046af9b3e315988111926122-480-0.jpg|Almacén > Aceites y Vinagres|00016
Aceite Cañuelas Girasol 1,5 Lt|201.0|ac-canuelas-girasol-1-5-lt/|2191-ed56f8b77cf21a55c515988094192453-480-0.jpg|Almacén > Aceites y Vinagres|00017
Aceite Natura Aerosol 120 Cc|146.2|ac-natura-aero-120-cc/|1871-8683f744226524a40215988124512148-480-0.jpg|Almacén > Aceites y Vinagres|00018
Aceto Marolio Balsámico 250 Ml|72.0|aceto-marolio-balsamico-250-ml/|mc234231-559b6307ede3bf815016013991684584-480-0.png|Almacén > Aceites y Vinagres|00019
Aceite Natura Girasol 900 Cc|135.0|ac-natura-girasol-900-cc/|1191-f6aa9d972584f0479415988133893757-480-0.jpg|Almacén > Aceites y Vinagres|00020
Aceite Cocinero Girasol 1,5 Lt|199.0|ac-cocinero-girasol-1-5-lt/|1031-e4ceb4c260011c069e16002986081621-480-0.jpg|Almacén > Aceites y Vinagres|00021
Aceto Molto Balsámico 250 ml|84.4|aceto-molto-balsamico-250-ml/|230941-45857a2ee223fca17815992494834835-480-0.jpg|Almacén > Aceites y Vinagres|00022
Aceto Molto Balsámico 500 ml|129.0|aceto-molto-balsamico-500-ml/|230951-36b6c8d0f87f19955615992495363204-480-0.jpg|Almacén > Aceites y Vinagres|00023
Vinagre Marolio Vino 500 cc|51.9|vinagre-marolio-vino-500-cc/|48431-b8e267997c40b2be6115992489487199-480-0.jpg|Almacén > Aceites y Vinagres|00024
Atún Gomes Da Costa Natural trozo 170 Gr|159.6|atun-g-d-costa-nat-trozo-170-gr/|140121-59ead476c816119f8515988319503556-480-0.jpg|Almacén > Conservas|00025
