id|marca|nombre|precio|precio_1|precio_2|precio_3|precio_unitario|rubro|url_imagen|url_producto
00001||Mostaza Savora 250gr|84.0||||$84|Productos > Aderezos|115651-091ba485b56ce6138915989074478331-480-0.jpg|http://www.tuchanguito.com.ar/productos/mostaza-savora-250-grs/
00002||Mayonesa Hellmann's Light Doypack 950gr|285.9||||$285,90|Productos > Aderezos|191101-6b200939b1944f922f15990681990552-480-0.jpg|http://www.tuchanguito.com.ar/productos/mayonesa-hellmanns-light-doypack-950-gr/
00003||Mayonesa Natura Doypack 500gr|125.8||||$125,80|Productos > Aderezos|72751-e3c642b6005b4fa77d15988911597667-480-0.jpg|http://www.tuchanguito.com.ar/productos/may-natura-d-p-500-gr/
00004||Mayonesa Hellmann's Doypack 950gr|197.9||||$197,90|Productos > Aderezos|153281-3c58331dca060c78f515990674082180-480-0.jpg|http://www.tuchanguito.com.ar/productos/mayonesa-hellmanns-doypack-950-gr/
00005||Kétchup Fanacoa Doypack 250gr|59.7||||$59,70|Productos > Aderezos|75861-c5c2273c0ea4b41aba15988880857506-480-0.jpg|http://www.tuchanguito.com.ar/productos/ketchup-fanacoa-d-p-250-gr/
00006||Mayonesa Hellmann's Oliva 238gr|89.6||||$89,60|Productos > Aderezos|184421-17a47ca3149830137c15990680810170-480-0.jpg|http://www.tuchanguito.com.ar/productos/mayonesa-hellmanns-oliva-238-gr/
00007||Mostaza Dos Anclas Con Miel 400gr|196.2||||$196,20|Productos > Aderezos|259271-71eedb45b1b99828ae15988914130863-480-0.jpg|http://www.tuchanguito.com.ar/productos/mostaza-dos-anclas-con-miel-400-gr/
00008||Mayonesa Natura Doypack 250gr|61.2||||$61,20|Productos > Aderezos|72741-5e8f5ab792cdb14ecc15988911309091-480-0.jpg|http://www.tuchanguito.com.ar/productos/may-natura-d-p-250-gr/
00009||Mayonesa Hellmann's Doypack 237gr|49.9||||$49,90|Productos > Aderezos|14981-4ed755d6bfbf02b8f615989735589658-480-0.jpg|http://www.tuchanguito.com.ar/productos/mayonesa-hellmanns-doypack-237-gr/
00010||Mostaza Danica 220gr|43.4||||$43,40|Productos > Aderezos|mostaza-danica-220-gr1-bf3883efd8d95dd9d016082334483528-480-0.png|http://www.tuchanguito.com.ar/productos/mostaza-danica-220-gr/
00011||Ketchup Danica 220gr|53.9||||$53,90|Productos > Aderezos|ketchup-danica-220-gr1-79cd38084208c625a916082333713948-480-0.png|http://www.tuchanguito.com.ar/productos/ketchup-danica-220-gr/
00012||Mayonesa Bc La Campagnola 250gr|41.2||||$41,20|Productos > Aderezos|diseno-sin-titulo-591-ff75ef585bdb079f6916081388526724-480-0.jpg|http://www.tuchanguito.com.ar/productos/mayonesa-bc-la-campagnola-250-gr/
00013||Atún Gomes Da Costa Natural Trozo 170gr|183.0||||$183|Productos > Conservas|140121-59ead476c816119f8515988319503556-480-0.jpg|http://www.tuchanguito.com.ar/productos/atun-g-d-costa-nat-trozo-170-gr/
00014||Arvejas Molto Recart. 340gr|33.7||||$33,70|Productos > Conservas|216381-5d9ae1d72c20e1d76715989652695507-480-0.jpg|http://www.tuchanguito.com.ar/productos/arvejas-molto-recart-340-gr/
00015||Choclo Bahía Grano Amarillo 320gr|99.3||||$99,30|Productos > Conservas|136751-0f1df930ab8c244c3e15989666704978-480-0.jpg|http://www.tuchanguito.com.ar/productos/choclo-bahia-gra-amar-320-gr/
00016||Atún La Campagnola Aceite 170gr|221.5||||$221,50|Productos > Conservas|2971-a72eaaaa94de931ff515988320272044-480-0.jpg|http://www.tuchanguito.com.ar/productos/atun-campagn-ac-170-gr/
00017||Granos De Choclo Marolio Amarillos Enteros 300gr|54.5||||$54,50|Productos > Conservas|58591-6bf8ff9824aa1e986115992490252085-480-0.jpg|http://www.tuchanguito.com.ar/productos/granos-de-choclo-marolio-amarillos-enteros-300-gr/
00018||Atún La Campagnola Natural 170gr|209.0||||$209|Productos > Conservas|2941-58de7f0208bbedfa1215988322147360-480-0.jpg|http://www.tuchanguito.com.ar/productos/atun-campagn-nat-170-gr/
00019||Choclo La Campagnola Grano Amarillo 300- 240gr|104.3||||$104,30|Productos > Conservas|7311-c8cd808e2521d90f6d15989667037452-480-0.jpg|http://www.tuchanguito.com.ar/productos/choclo-campagn-gr-amar300-240-gr/
00020||Atún La Campagnola Natural 300gr|374.1||||$374,10|Productos > Conservas|2891-990dcc78d8301dc16215988871111638-480-0.jpg|http://www.tuchanguito.com.ar/productos/atun-campagn-nat-300-gr/
00021||Palmito Marolio Entero 400gr|149.37||||$149,37|Productos > Conservas|119641-4e51a297be1292e27315992491418710-480-0.jpg|http://www.tuchanguito.com.ar/productos/palmito-marolio-entero-400-gr/
00022||Atún Gomes Da Costa Aceite Desmenuzado 170gr|183.0||||$183|Productos > Conservas|239071-a74ef0e2348184395b16006148914465-480-0.jpg|http://www.tuchanguito.com.ar/productos/atun-g-d-costa-ac-desm-170-gr/
00023||Lomito De Atún Gomes Da Costa Aceite 170gr|183.05||||$183,05|Productos > Conservas|140091-893ae8c37345c0f09415988904238395-480-0.jpg|http://www.tuchanguito.com.ar/productos/lom-at-g-d-costa-ac-170-gr/
