categoria|rubro|id|producto|titulo|detalle|sku|imagen|regla_1|precio_1|regla_2|precio_2|regla_3|precio_3
Aderezos| Ketchup|73|http://tatito.com.ar/producto/ketchup-danica-220gr/|KETCHUP DANICA 220GR|""|3521|http://tatito.com.ar/wp-content/uploads/2020/01/KETCHUP-DANICA-220GR.jpg|1 - 2|52.0|3+|43.71||
Aderezos| Mayonesas|139|http://tatito.com.ar/producto/mayonesa-natura-125-grs/|Mayonesa Natura 125 grs.|""|3492|http://tatito.com.ar/wp-content/uploads/2020/06/mayonesa-natura-125.jpg|1 - 2|32.5|3+|27.89||
Aderezos| Mayonesas|139|http://tatito.com.ar/producto/mayonesa-natura-250-grs/|Mayonesa Natura 250 grs.|""|3508|http://tatito.com.ar/wp-content/uploads/2020/06/mayonesa-natura-250.jpg|1 - 2|63.0|3+|54.2||
Aderezos| Mayonesas|139|http://tatito.com.ar/producto/mayonesa-hellmanns-475gr/|MAYONESA HELLMANNS 475GR|""|3495|http://tatito.com.ar/wp-content/uploads/2019/11/MAYONESA-HELLMANNS-475GR.jpg|1 - 2|115.0|3+|97.5||
Aderezos| Mayonesas|139|http://tatito.com.ar/producto/mayonesa-fanacoa-2755kg/|MAYONESA FANACOA  2755KG|""|3559|http://tatito.com.ar/wp-content/uploads/2020/01/MAYONESA-FANACOA-2755KG.jpg|1 - 2|179.0|3+|179.0||
Aderezos| Mayonesas|139|http://tatito.com.ar/producto/mayonesa-danica-f-1kg/|MAYONESA DANICA FIESTA 1KG|""|3494|http://tatito.com.ar/wp-content/uploads/2019/11/mayonesa-danica-fiesta-1kg.jpg|1 - 2|120.0|3+|99.0||
Aderezos| Mayonesas|139|http://tatito.com.ar/producto/mayonesa-hellmanns-950kg/|MAYONESA HELLMANNS 950KG|""|1784|http://tatito.com.ar/wp-content/uploads/2020/01/MAYONESA-HELLMANNS-950KG.jpg|1 - 2|190.0|3+|163.29||
Aderezos| Mayonesas|139|http://tatito.com.ar/producto/mayonesa-hellmanns-2755gr/|MAYONESA HELLMANNS 2755GR|""|1199|http://tatito.com.ar/wp-content/uploads/2020/01/MAYONESA-HELLMANNS-2755GR.jpg|1 - 2|390.0|3+|390.0||
Aderezos| Mayonesas|139|http://tatito.com.ar/producto/mayonesa-danica-f-x-500gr/|MAYONESA DANICA F X 500GR|""|100351|http://tatito.com.ar/wp-content/uploads/2019/11/MAYONESA-DANICA-F-X-500GR.jpg|1 - 2|65.0|3+|53.96||
Aderezos| Mayonesas|139|http://tatito.com.ar/producto/mayonesa-danica-f-100gr/|MAYONESA DANICA F 100GR|""|1035|http://tatito.com.ar/wp-content/uploads/2020/01/MAYONESA-DANICA-F-100GR.jpg|1 - 2|12.5|3+|10.4||
Aderezos| Mayonesas|139|http://tatito.com.ar/producto/mayonesa-danica-f-220gr/|MAYONESA DANICA F 220GR|""|3501|http://tatito.com.ar/wp-content/uploads/2019/11/Mayonesa-Dani-Fiesta-24x250cm3-.jpg|1 - 2|35.0|3+|29.87||
Aderezos| Mayonesas|139|http://tatito.com.ar/producto/mayonesa-hellmanns-237gr/|MAYONESA HELLMANNS 237GR|""|3527|http://tatito.com.ar/wp-content/uploads/2020/01/MAYONESA-HELLMANNS-237GR.jpg|1 - 2|65.0|3+|54.6||
Aderezos| Mostazas|149|http://tatito.com.ar/producto/mostaza-danica-3kg/|MOSTAZA DANICA 3KG|""|101362|http://tatito.com.ar/wp-content/uploads/2020/01/MOSTAZA-DANICA-3KG.jpg|1 - 2|245.0|3+|219.45||
Aderezos| Mostazas|149|http://tatito.com.ar/producto/mostaza-danica-220gr/|MOSTAZA DANICA 220GR|""|3517|http://tatito.com.ar/wp-content/uploads/2020/01/MOSTAZA-DANICA-250GR.jpg|1 - 2|43.0|3+|37.23||
Almacén| Arroz|93|http://tatito.com.ar/producto/arroz-gallo-largo-fino-500-grs/|Arroz Gallo Largo Fino 500 Grs.|""|102951|http://tatito.com.ar/wp-content/uploads/2020/07/arroz-gallo-largo-fino-500.jpg|1 - 2|52.0|3+|43.76||
Almacén| Arroz|93|http://tatito.com.ar/producto/arroz-dos-hermanos-l-fino-x-500-grs/|Arroz Dos Hermanos L. Fino x 500 grs.|""|109914|http://tatito.com.ar/wp-content/uploads/2020/07/arroz-dos-hermanos-Lfino-500.jpg|1 - 2|40.0|3+|34.57||
