categoria	rubro	id	producto	titulo	unidad	detalle	sku	imagen	regla_1	precio_1	regla_2	precio_2	regla_3	precio_3
AlmacÈn	Aceites	102	http://tatito.com.ar/producto/aceite-natura-aerosol-x-120-g/	Aceite Natura - Aerosol	120 gr		114414	http://tatito.com.ar/wp-content/uploads/2020/07/aceite-natura-aerosol.jpg	1-2	168	3+	154.74		
AlmacÈn	Aceites	102	http://tatito.com.ar/producto/aceite-natura-girasol-1-5 lt/	Aceite Natura - Girasol	1.5 lt		7241	http://tatito.com.ar/wp-content/uploads/2020/01/ACEITE-NATURA-GIRASOL-1500cc.jpg	1-2	218	3+	187.5		
AlmacÈn	Aceites	102	http://tatito.com.ar/producto/aceite-vicentin-girasol-1-5 lt-s-iva/	Aceite Vicentin - Girasol	1.5 lt		4337	http://tatito.com.ar/wp-content/uploads/2020/01/ACEITE-VICENTIN-GIRASOL-1500cc.jpg	1-2	165.01	3+	157.11		
AlmacÈn	Aceites	102	http://tatito.com.ar/producto/aceite-vicentin-girasol-4-5 lt-s-iva/	Aceite Vicentin - Girasol 	4.5 lt		2065	http://tatito.com.ar/wp-content/uploads/2020/01/ACEITE-VICENTIN-GIRASOL-4500cc.jpg	1-2	0	$	4		
AlmacÈn	Aceites	102	http://tatito.com.ar/producto/aceite-vicentin-girasol-900cc-s-iva/	Aceite Vicentin - Girasol 	900 cc		4367	http://tatito.com.ar/wp-content/uploads/2020/01/ACEITE-VICENTIN-GIRASOL-900CC.jpg	1-2	100	3+	94.9		
Limpieza	Shampoo	191	http://tatito.com.ar/producto/acond-suave-jazmin-930/	Acondicionador Suave Aloe Vera Y Pepino 	930 ml		6028	http://tatito.com.ar/wp-content/uploads/2019/11/acondicionador-suave-aloe-y-pepino-930.jpg	1-2	105	3+	91		
Bebidas	Agua	68	http://tatito.com.ar/producto/agua-palau-x-6 lts/	Agua Palau	6 lt		103641	http://tatito.com.ar/wp-content/uploads/2020/01/AGUA-PALAU-X-6 ltS.jpg	1-2	0	$	8		
Condimentos	Condimentos	122	http://tatito.com.ar/producto/aji-alicante-tritur-25gr/	Aji Alicante Triturado 	25 gr		6151	http://tatito.com.ar/wp-content/uploads/2020/01/AJI-ALICANTE-TRITUR-25GR.jpg	1-2	30	3+	25.99		
Limpieza	Alcohol	224	http://tatito.com.ar/producto/alcohol-en-gel-san-iginio-x-250-cc/	Alcohol En Gel San Iginio 	250 cc		111404	http://tatito.com.ar/wp-content/uploads/2020/01/defau lt.jpg	1-2	155	3+	131.8		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/alfajor-dolche-patagonia-blanco-60-grs/	Alfajor Dolche Patagonia - Blanco 	60 gr	Alfajor de dulce de leche cubierto con baÒo de glasÈ x 60 grs.		http://tatito.com.ar/wp-content/uploads/2020/05/alfajor-dolche-patagonia-blanco.jpg	1-2	55	3-11	48	12+	47
AlmacÈn	Varios	147	http://tatito.com.ar/producto/alfajor-dolche-patagonia-blanco-60-grs/	Alfajor Dolche Patagonia - Blanco 	60 gr	Alfajor de dulce de leche cubierto con baÒo de glasÈ x 60 grs.		http://tatito.com.ar/wp-content/uploads/2020/05/alfajor-dolche-patagonia-blanco.jpg	1-2	55	3-11	48	12+	47
AlmacÈn	Otros	155	http://tatito.com.ar/producto/alfajor-dolche-patagonia-maicena-75-grs/	Alfajor Dolche Patagonia - Maicena 	75 gr	Alfajor de maicena con relleno de Dulce de Leche y Coco.		http://tatito.com.ar/wp-content/uploads/2020/05/alfajor-dolche-patagonia-maicena.jpg	1-2	55	3-11	48	12+	47
AlmacÈn	Varios	147	http://tatito.com.ar/producto/alfajor-dolche-patagonia-maicena-75-grs/	Alfajor Dolche Patagonia - Maicena 	75 gr	Alfajor de maicena con relleno de Dulce de Leche y Coco.		http://tatito.com.ar/wp-content/uploads/2020/05/alfajor-dolche-patagonia-maicena.jpg	1-2	55	3-11	48	12+	47
AlmacÈn	Otros	155	http://tatito.com.ar/producto/alfajor-dolche-patagonia-negro-60-grs/	Alfajor Dolche Patagonia - Negro 	60 gr	Alfajor de dulce de leche con cobertura de chocolate negro x 60 grs.		http://tatito.com.ar/wp-content/uploads/2020/05/alfajor-dolche-patagonia-negro.jpg	1-2	55	3-11	48	12+	47
AlmacÈn	Varios	147	http://tatito.com.ar/producto/alfajor-dolche-patagonia-negro-60-grs/	Alfajor Dolche Patagonia - Negro 	60 gr	Alfajor de dulce de leche con cobertura de chocolate negro x 60 grs.		http://tatito.com.ar/wp-content/uploads/2020/05/alfajor-dolche-patagonia-negro.jpg	1-2	55	3-11	48	12+	47
Limpieza	Varios	206	http://tatito.com.ar/producto/algodon-ejemplar-65-grs/	Algodon Ejemplar 	65 gr		103350	http://tatito.com.ar/wp-content/uploads/2020/07/algodon-ejemplar-65grs.jpg	1-2	40	3+	34.75		
AlmacÈn	Arroz	93	http://tatito.com.ar/producto/arroz-dos-hermanos-l-fino-x-500-grs/	Arroz Dos Hermanos - Largo Fino 	500 gr		109914	http://tatito.com.ar/wp-content/uploads/2020/07/arroz-dos-hermanos-Lfino-500.jpg	1-2	40	3+	34.57		
AlmacÈn	Arroz	93	http://tatito.com.ar/producto/arroz-dos-hermanos-parboil-x-500-grs/	Arroz Dos Hermanos - Parboil 	500 gr		109913	http://tatito.com.ar/wp-content/uploads/2020/07/arroz-dos-hermanos-parboil-500.jpg	1-2	49.5	3+	42.59		
AlmacÈn	Arroz	93	http://tatito.com.ar/producto/arroz-gallo-largo-fino-500-grs/	Arroz Gallo Largo Fino	500 gr		102951	http://tatito.com.ar/wp-content/uploads/2020/07/arroz-gallo-largo-fino-500.jpg	1-2	52	3+	43.76		
AlmacÈn	Arroz	93	http://tatito.com.ar/producto/arroz-gallo-oro-b1-kg-s-iva/	Arroz Gallo Oro 	1 kg		103204	http://tatito.com.ar/wp-content/uploads/2020/01/ARROZ-GALLO-ORO-B1-Kgrjpg	1-2	127	3+	109.99		
AlmacÈn	Arroz	93	http://tatito.com.ar/producto/arroz-gallo-oro-ama-500gr/	Arroz Gallo Oro Amarillo 	500 gr		4266	http://tatito.com.ar/wp-content/uploads/2020/01/ARROZ-GALLO-ORO-AmA-500GR.jpg	1-2	69	3+	57.7		
AlmacÈn	Arroz	93	http://tatito.com.ar/producto/arroz-luchador-4-0-500gr-s-iva/	Arroz Luchador 0000	500 gr		4304	http://tatito.com.ar/wp-content/uploads/2019/11/arroz-luchador-500.jpg	1-2	36.5	3+	31.28		
AlmacÈn	Arroz	93	http://tatito.com.ar/producto/arroz-noble-lf-500g-s-iva/	Arroz Noble - Largo Fino 	500 gr		109867	http://tatito.com.ar/wp-content/uploads/2020/01/ARROZ-NOBLE-LF-500grjpg	1-2	43.5	3+	35.28		
AlmacÈn	Arroz	93	http://tatito.com.ar/producto/arroz-peleador-largo-fino-x-500-grs/	Arroz Peleador - Largo Fino	500 gr		4279	http://tatito.com.ar/wp-content/uploads/2020/05/arroz-peleador-500.jpg	1-2	36	3+	28.5		
